model_size,loss_type,architecture,det_precision,det_recall,det_mAP50,det_mAP50-95,cls_accuracy,cls_precision,cls_recall,cls_f1_score
yolov5m,MC,backbone,0.823094,0.758922,0.748768,0.298182,0.972280,0.973000,0.972280,0.972420
yolov5m,MC,p3,0.832152,0.736056,0.733050,0.294698,0.973380,0.974240,0.973380,0.973440
yolov5m,MC,p4,0.819484,0.725776,0.732634,0.290796,0.963400,0.963940,0.963400,0.963400
yolov5m,MC,p5,0.816330,0.730692,0.724618,0.293192,0.971120,0.971580,0.971120,0.971180
yolov5m,MLC,backbone,0.831016,0.746550,0.748666,0.296220,0.972260,0.972860,0.972260,0.972280
yolov5m,MLC,p3,0.808546,0.725796,0.720332,0.271646,0.972280,0.972460,0.972280,0.972280
yolov5m,MLC,p4,0.823676,0.735858,0.730622,0.283636,0.972240,0.973540,0.972240,0.972540
yolov5m,MLC,p5,0.816820,0.707156,0.712282,0.284218,0.968900,0.970280,0.968900,0.968880
yolov5s,SC,backbone,0.851374,0.797990,0.794544,0.349400,0.974480,0.974860,0.974480,0.974560
yolov5s,SC,p3,0.838698,0.769992,0.765414,0.338912,0.970080,0.971060,0.970080,0.970280
yolov5s,SC,p4,0.844906,0.772966,0.765662,0.335348,0.971180,0.971680,0.971180,0.971300
yolov5s,SC,p5,0.836582,0.767546,0.777464,0.346318,0.974540,0.975280,0.974540,0.974660
