model_size,loss_type,architecture,version,det_precision,det_recall,det_mAP50,det_mAP50-95,cls_accuracy,cls_precision,cls_recall,cls_f1_score
yolov5m,MC,backbone,v1,0.845720,0.781350,0.753280,0.316290,0.972400,0.974700,0.972400,0.972800
yolov5m,MC,backbone,v2,0.824360,0.786460,0.773260,0.311630,0.960900,0.961100,0.960900,0.961000
yolov5m,MC,backbone,v3,0.809820,0.723700,0.716140,0.281050,0.972200,0.972400,0.972200,0.972100
yolov5m,MC,backbone,v4,0.862090,0.781460,0.788940,0.311330,0.983400,0.983400,0.983400,0.983400
yolov5m,MC,backbone,v5,0.773480,0.721640,0.712220,0.270610,0.972500,0.973400,0.972500,0.972800
yolov5m,MC,p3,v1,0.788120,0.705590,0.673750,0.281980,0.983400,0.984100,0.983400,0.983500
yolov5m,MC,p3,v2,0.866250,0.753710,0.772430,0.327890,0.955300,0.956500,0.955300,0.955300
yolov5m,MC,p3,v3,0.820300,0.686760,0.683480,0.275880,0.977800,0.979300,0.977800,0.977800
yolov5m,MC,p3,v4,0.873280,0.756980,0.791840,0.297460,0.977900,0.978200,0.977900,0.977900
yolov5m,MC,p3,v5,0.812810,0.777240,0.743750,0.290280,0.972500,0.973100,0.972500,0.972700
yolov5m,MC,p4,v1,0.819450,0.759610,0.756750,0.289920,0.983400,0.984000,0.983400,0.983500
yolov5m,MC,p4,v2,0.780830,0.663800,0.667320,0.288300,0.938500,0.938400,0.938500,0.937700
yolov5m,MC,p4,v3,0.805750,0.718130,0.706690,0.276360,0.972200,0.972700,0.972200,0.972300
yolov5m,MC,p4,v4,0.865330,0.719840,0.765870,0.316290,0.972400,0.972500,0.972400,0.972400
yolov5m,MC,p4,v5,0.826060,0.767500,0.766540,0.283110,0.950500,0.952100,0.950500,0.951100
yolov5m,MC,p5,v1,0.807850,0.777440,0.736730,0.287780,0.983400,0.984000,0.983400,0.983500
yolov5m,MC,p5,v2,0.811160,0.714730,0.699530,0.314260,0.938500,0.938200,0.938500,0.938300
yolov5m,MC,p5,v3,0.783880,0.671870,0.679190,0.270280,0.983300,0.983500,0.983300,0.983400
yolov5m,MC,p5,v4,0.799050,0.743930,0.748100,0.300230,0.972400,0.973400,0.972400,0.972500
yolov5m,MC,p5,v5,0.879710,0.745490,0.759540,0.293410,0.978000,0.978800,0.978000,0.978200
yolov5m,MLC,backbone,v1,0.872070,0.801530,0.807690,0.289090,0.977900,0.979300,0.977900,0.978100
yolov5m,MLC,backbone,v2,0.838720,0.756080,0.756260,0.340390,0.955300,0.955300,0.955300,0.955300
yolov5m,MLC,backbone,v3,0.777180,0.700750,0.683770,0.260840,0.977800,0.979300,0.977800,0.977800
yolov5m,MLC,backbone,v4,0.811530,0.729130,0.740440,0.310380,0.977800,0.977900,0.977800,0.977700
yolov5m,MLC,backbone,v5,0.855580,0.745260,0.755170,0.280400,0.972500,0.972500,0.972500,0.972500
yolov5m,MLC,p3,v1,0.845430,0.817310,0.796060,0.296060,0.977900,0.977900,0.977900,0.977800
yolov5m,MLC,p3,v2,0.827190,0.727300,0.736700,0.274230,0.955300,0.955300,0.955300,0.955300
yolov5m,MLC,p3,v3,0.768700,0.681210,0.641300,0.235160,0.988900,0.989300,0.988900,0.988900
yolov5m,MLC,p3,v4,0.803450,0.693720,0.723780,0.291460,0.983300,0.983300,0.983300,0.983200
yolov5m,MLC,p3,v5,0.797960,0.709440,0.703820,0.261320,0.956000,0.956500,0.956000,0.956200
yolov5m,MLC,p4,v1,0.864800,0.836520,0.828730,0.305680,0.983400,0.984100,0.983400,0.983500
yolov5m,MLC,p4,v2,0.835110,0.741320,0.741750,0.304470,0.949700,0.952900,0.949700,0.950500
yolov5m,MLC,p4,v3,0.757030,0.659650,0.663710,0.257800,0.977800,0.978300,0.977800,0.977900
yolov5m,MLC,p4,v4,0.861380,0.720420,0.731060,0.297170,0.983300,0.984200,0.983300,0.983400
yolov5m,MLC,p4,v5,0.800060,0.721380,0.687860,0.253060,0.967000,0.968200,0.967000,0.967400
yolov5m,MLC,p5,v1,0.852350,0.770300,0.758030,0.284770,0.977900,0.978100,0.977900,0.978000
yolov5m,MLC,p5,v2,0.819330,0.706070,0.717770,0.312130,0.944100,0.946200,0.944100,0.943500
yolov5m,MLC,p5,v3,0.802430,0.622550,0.651740,0.245540,0.972200,0.973700,0.972200,0.971900
