Model,Task_Type,Class_Config,Precision,Recall,F1_Score,mAP50,mAP50_95,Classification_Accuracy
yolov5s,Classification,A4C,0.9659,0.9691,0.9670,-,-,-
yolov5s,Classification,PLAX,0.9837,0.9837,0.9835,-,-,-
yolov5s,Classification,PSAX,0.9590,0.9564,0.9574,-,-,-
yolov5s,Detection,SC-backbone,0.8514,0.7980,0.8239,0.7945,0.3494,0.9745
yolov5s,Detection,SC-p3,0.8387,0.7700,0.8029,0.7654,0.3389,0.9701
yolov5s,Detection,SC-p4,0.8449,0.7730,0.8073,0.7657,0.3353,0.9712
yolov5s,Detection,SC-p5,0.8366,0.7675,0.8006,0.7775,0.3463,0.9745
yolov5m,Classification,A4C,0.9791,0.9692,0.9737,-,-,-
yolov5m,Classification,PLAX,0.9914,0.9927,0.9920,-,-,-
yolov5m,Classification,PSAX,0.9674,0.9811,0.9739,-,-,-
yolov5m,Detection,MC-backbone,0.8231,0.7589,0.7897,0.7488,0.2982,0.9723
yolov5m,Detection,MC-p3,0.8322,0.7361,0.7809,0.7330,0.2947,0.9734
yolov5m,Detection,MC-p4,0.8195,0.7258,0.7696,0.7326,0.2908,0.9634
yolov5m,Detection,MC-p5,0.8163,0.7307,0.7708,0.7246,0.2932,0.9711
yolov5m,Detection,MLC-backbone,0.8310,0.7466,0.7863,0.7487,0.2962,0.9723
yolov5m,Detection,MLC-p3,0.8085,0.7258,0.7649,0.7203,0.2716,0.9723
yolov5m,Detection,MLC-p4,0.8237,0.7359,0.7773,0.7306,0.2836,0.9722
yolov5m,Detection,MLC-p5,0.8168,0.7072,0.7581,0.7123,0.2842,0.9689
yolov5l,Classification,A4C,0.9665,0.9690,0.9675,-,-,-
yolov5l,Classification,PLAX,0.9826,0.9884,0.9855,-,-,-
yolov5l,Classification,PSAX,0.9643,0.9498,0.9565,-,-,-



