architecture,model,config,n_versions,det_precision,det_precision_std,det_recall,det_recall_std,mAP50,mAP50_std,mAP50_95,mAP50_95_std
yolov5sc_backbone,yolov5sc,backbone,5,0.8513740000000001,0.031486293907032004,0.7979900000000001,0.030929894277219906,0.794544,0.04056183161544851,0.3494,0.02482019500326297
yolov5sc_p3,yolov5sc,p3,5,0.8386979999999999,0.030057383385783953,0.769992,0.036985762341744395,0.765414,0.050316942116945075,0.338912,0.03638669833881607
yolov5sc_p4,yolov5sc,p4,5,0.8449059999999999,0.036180030182408625,0.772966,0.036006857457989865,0.765662,0.04696733775721167,0.335348,0.02581167363810414
yolov5sc_p5,yolov5sc,p5,5,0.8365820000000002,0.029997740181553684,0.767546,0.0339632181042963,0.7774639999999999,0.04937738291971337,0.346318,0.02355328206428989
yolov5mc_backbone,yolov5mc,backbone,5,0.823094,0.030567874378176867,0.758922,0.029664304744928736,0.748768,0.030444534747635733,0.298182,0.01862975512453129
yolov5mc_p3,yolov5mc,p3,5,0.832152,0.032580932706108914,0.736056,0.03407013977077287,0.73305,0.04710671586939595,0.294698,0.01813681824356191
yolov5mc_p4,yolov5mc,p4,5,0.8194840000000001,0.02766895415443093,0.725776,0.036933328363417235,0.732634,0.03943308184760608,0.29079599999999994,0.013597162351020167
yolov5mc_p5,yolov5mc,p5,5,0.81633,0.033067399655854396,0.730692,0.035480738661983924,0.724618,0.030366961915871675,0.293192,0.014475434915746046
yolov5mlc_backbone,yolov5mlc,backbone,5,0.831016,0.03354457249690329,0.7465499999999999,0.03321560416430808,0.748666,0.039655923441523855,0.29622,0.027218920625182774
yolov5mlc_p3,yolov5mlc,p3,5,0.808546,0.026205970770036346,0.725796,0.04829363129854702,0.720332,0.050066422440593866,0.271646,0.022059780234626087
yolov5mlc_p4,yolov5mlc,p4,5,0.8236760000000001,0.04060274897097487,0.735858,0.05730318539138993,0.7306220000000001,0.05666570087804436,0.283636,0.023261785486071364
yolov5mlc_p5,yolov5mlc,p5,5,0.8168199999999999,0.02486500512768901,0.7071560000000001,0.05051116454804817,0.7122819999999999,0.03881750502028692,0.28421799999999997,0.02777456779141666
