model_size,class_name,precision,recall,f1_score,support,architecture,task_type,mAP50,mAP50_95,cls_accuracy,model_config
l,A4C,0.966500,0.969020,0.967480,96.200000,original,Classification,,,,yolov5l_original
l,PLAX,0.982560,0.988440,0.985480,139.600000,original,Classification,,,,yolov5l_original
l,PSAX,0.964300,0.949820,0.956480,61.000000,original,Classification,,,,yolov5l_original
m,Overall,0.823094,0.758922,0.789706,,backbone,Detection,0.748768,0.298182,0.972280,yolov5m_backbone
m,Overall,0.831016,0.746550,0.786522,,backbone,Detection,0.748666,0.296220,0.972260,yolov5m_backbone
m,A4C,0.979100,0.969220,0.973660,96.200000,original,Classification,,,,yolov5m_original
m,PLAX,0.991380,0.992660,0.991960,139.600000,original,Classification,,,,yolov5m_original
m,PSAX,0.967420,0.981120,0.973880,61.000000,original,Classification,,,,yolov5m_original
m,Overall,0.832152,0.736056,0.781160,,p3,Detection,0.733050,0.294698,0.973380,yolov5m_p3
m,Overall,0.808546,0.725796,0.764940,,p3,Detection,0.720332,0.271646,0.972280,yolov5m_p3
m,Overall,0.819484,0.725776,0.769789,,p4,Detection,0.732634,0.290796,0.963400,yolov5m_p4
m,Overall,0.823676,0.735858,0.777294,,p4,Detection,0.730622,0.283636,0.972240,yolov5m_p4
m,Overall,0.816330,0.730692,0.771141,,p5,Detection,0.724618,0.293192,0.971120,yolov5m_p5
m,Overall,0.816820,0.707156,0.758042,,p5,Detection,0.712282,0.284218,0.968900,yolov5m_p5
s,Overall,0.851374,0.797990,0.823818,,backbone,Detection,0.794544,0.349400,0.974480,yolov5s_backbone
s,A4C,0.970740,0.973280,0.971620,96.200000,original,Classification,,,,yolov5s_original
s,PLAX,0.985560,0.985520,0.985360,139.600000,original,Classification,,,,yolov5s_original
s,PSAX,0.967200,0.965100,0.965880,61.000000,original,Classification,,,,yolov5s_original
s,Overall,0.838698,0.769992,0.802878,,p3,Detection,0.765414,0.338912,0.970080,yolov5s_p3
s,Overall,0.844906,0.772966,0.807337,,p4,Detection,0.765662,0.335348,0.971180,yolov5s_p4
s,Overall,0.836582,0.767546,0.800578,,p5,Detection,0.777464,0.346318,0.974540,yolov5s_p5
