                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                0.83356,                0.97791,                0.61111,                      1,              0.0009967
                      1,                0.66515,                0.79541,                 0.7451,                      1,              0.0009934
                      2,                0.55392,                0.66288,                0.83987,                      1,              0.0009901
                      3,                0.51098,                0.80013,                0.77778,                      1,              0.0009868
                      4,                0.52715,                0.72042,                0.80392,                      1,              0.0009835
                      5,                0.48654,                0.76855,                0.79085,                      1,              0.0009802
                      6,                0.46278,                0.48016,                 0.9183,                      1,              0.0009769
                      7,                0.45873,                0.52233,                0.90523,                      1,              0.0009736
                      8,                0.44127,                 0.4965,                 0.9085,                      1,              0.0009703
                      9,                0.44747,                0.44363,                0.94771,                      1,               0.000967
                     10,                0.43223,                 0.5055,                0.87255,                      1,              0.0009637
                     11,                0.43502,                0.44464,                0.93464,                      1,              0.0009604
                     12,                0.42163,                0.42164,                0.96078,                      1,              0.0009571
                     13,                 0.4079,                 0.4657,                0.94118,                      1,              0.0009538
                     14,                0.41104,                0.56291,                 0.9085,                      1,              0.0009505
                     15,                0.43074,                0.46579,                0.95098,                      1,              0.0009472
                     16,                0.41089,                0.42236,                0.93791,                      1,              0.0009439
                     17,                0.39876,                0.47632,                0.90196,                      1,              0.0009406
                     18,                0.38261,                0.42244,                0.95752,                      1,              0.0009373
                     19,                0.39106,                0.40058,                0.96732,                      1,               0.000934
                     20,                0.39154,                0.48754,                0.96078,                      1,              0.0009307
                     21,                0.37806,                0.45694,                0.95098,                      1,              0.0009274
                     22,                0.39381,                0.43709,                0.93137,                      1,              0.0009241
                     23,                 0.3929,                0.46125,                0.92157,                      1,              0.0009208
                     24,                0.38798,                0.39755,                0.95425,                      1,              0.0009175
                     25,                 0.3732,                0.40053,                0.95752,                      1,              0.0009142
                     26,                0.37386,                0.43203,                0.94444,                      1,              0.0009109
                     27,                0.37789,                0.38819,                0.96078,                      1,              0.0009076
                     28,                0.39913,                0.42253,                0.93464,                      1,              0.0009043
                     29,                0.37965,                0.47891,                0.89869,                      1,               0.000901
                     30,                0.37121,                0.39907,                0.96078,                      1,              0.0008977
                     31,                0.37843,                0.42074,                0.95752,                      1,              0.0008944
                     32,                0.37057,                0.43503,                0.93791,                      1,              0.0008911
                     33,                0.37259,                0.41146,                0.95425,                      1,              0.0008878
                     34,                 0.3654,                0.38904,                0.95752,                      1,              0.0008845
                     35,                0.38372,                0.38782,                0.95425,                      1,              0.0008812
                     36,                 0.3873,                0.38642,                0.96078,                      1,              0.0008779
                     37,                0.36927,                0.42978,                0.95425,                      1,              0.0008746
                     38,                0.36141,                0.42444,                0.95752,                      1,              0.0008713
                     39,                0.36883,                0.40131,                0.95752,                      1,               0.000868
                     40,                0.37387,                0.42964,                0.95425,                      1,              0.0008647
                     41,                0.36179,                 0.3721,                0.95425,                      1,              0.0008614
                     42,                0.36395,                0.37424,                0.96405,                      1,              0.0008581
                     43,                0.36328,                0.37522,                0.95425,                      1,              0.0008548
                     44,                0.36601,                0.41443,                0.96405,                      1,              0.0008515
                     45,                0.37006,                0.41289,                0.95752,                      1,              0.0008482
                     46,                0.36505,                0.44594,                0.95098,                      1,              0.0008449
                     47,                0.35382,                 0.4339,                0.95752,                      1,              0.0008416
                     48,                0.36732,                0.38338,                0.96078,                      1,              0.0008383
                     49,                0.34295,                0.37911,                0.95425,                      1,               0.000835
                     50,                0.36563,                0.38192,                0.96405,                      1,              0.0008317
                     51,                0.37107,                0.38069,                0.96405,                      1,              0.0008284
                     52,                0.35337,                0.42471,                0.95425,                      1,              0.0008251
                     53,                  0.373,                0.39255,                0.95752,                      1,              0.0008218
                     54,                0.36003,                0.37585,                0.96078,                      1,              0.0008185
                     55,                0.35487,                 0.3965,                0.96078,                      1,              0.0008152
                     56,                0.36023,                0.40118,                0.96078,                      1,              0.0008119
                     57,                0.36034,                0.39282,                0.96405,                      1,              0.0008086
                     58,                0.36749,                0.44389,                0.96078,                      1,              0.0008053
                     59,                0.35998,                0.42864,                0.93137,                      1,               0.000802
                     60,                0.35246,                0.39267,                0.96078,                      1,              0.0007987
                     61,                0.36666,                0.39614,                0.95752,                      1,              0.0007954
                     62,                0.35063,                0.36298,                0.95752,                      1,              0.0007921
                     63,                0.36086,                0.43615,                0.93791,                      1,              0.0007888
                     64,                0.34529,                0.38055,                0.95098,                      1,              0.0007855
                     65,                0.35941,                0.44716,                0.96078,                      1,              0.0007822
                     66,                0.36362,                0.45128,                0.95752,                      1,              0.0007789
                     67,                0.36248,                0.37003,                0.96405,                      1,              0.0007756
                     68,                0.35305,                0.40198,                0.96078,                      1,              0.0007723
                     69,                0.34499,                0.43464,                0.96078,                      1,               0.000769
