# epoch,accuracy,precision,recall,f1_score
0,0.3200,0.2184,0.3200,0.2261
1,0.3040,0.2118,0.3040,0.2290
2,0.3680,0.3178,0.3680,0.2234
3,0.3680,0.1354,0.3680,0.1980
4,0.3120,0.2801,0.3120,0.2620
5,0.3360,0.2537,0.3360,0.2433
6,0.3280,0.1995,0.3280,0.2057
7,0.3280,0.2218,0.3280,0.2309
8,0.3360,0.3654,0.3360,0.2806
9,0.2880,0.2123,0.2880,0.2443
10,0.2960,0.2163,0.2960,0.2490
11,0.2880,0.2093,0.2880,0.2404
12,0.2560,0.2507,0.2560,0.2490
13,0.2800,0.2866,0.2800,0.2800
14,0.3040,0.3080,0.3040,0.3054
15,0.2880,0.2856,0.2880,0.2839
16,0.3200,0.3276,0.3200,0.3194
17,0.3360,0.3370,0.3360,0.3338
18,0.2960,0.2989,0.2960,0.2958
19,0.3120,0.3183,0.3120,0.3117
20,0.3200,0.3261,0.3200,0.3199
21,0.2800,0.2850,0.2800,0.2730
22,0.2800,0.2894,0.2800,0.2770
23,0.3040,0.3115,0.3040,0.3052
24,0.3040,0.3064,0.3040,0.2994
25,0.3200,0.3242,0.3200,0.3116
26,0.2880,0.2894,0.2880,0.2854
27,0.2880,0.2855,0.2880,0.2830
28,0.2960,0.2975,0.2960,0.2948
29,0.3040,0.3049,0.3040,0.3013
30,0.2880,0.2883,0.2880,0.2857
31,0.3200,0.3156,0.3200,0.3077
32,0.3040,0.3025,0.3040,0.2966
33,0.2960,0.2933,0.2960,0.2847
34,0.2960,0.2950,0.2960,0.2852
35,0.3200,0.3170,0.3200,0.3105
36,0.2880,0.2878,0.2880,0.2835
37,0.2800,0.2808,0.2800,0.2777
38,0.2800,0.2755,0.2800,0.2743
39,0.2880,0.2809,0.2880,0.2807
40,0.3200,0.3093,0.3200,0.3073
41,0.2960,0.2823,0.2960,0.2840
42,0.2880,0.2758,0.2880,0.2782
43,0.3040,0.3027,0.3040,0.3014
