               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11684,             0.01433,            0.049751,             0.16473,          7.1941e-05,            0.032197,          4.0302e-05,          8.7264e-06,             0.11763,            0.013231,            0.050037,             0.16451,              0.0955,              0.0005,              0.0005
                   1,              0.1154,            0.014445,            0.049612,             0.16487,          2.6689e-05,           0.0056818,           1.416e-05,          8.4961e-06,             0.11472,            0.013534,            0.049792,             0.16457,            0.090097,           0.0010967,           0.0010967
                   2,              0.1102,            0.015032,             0.04933,             0.16417,          0.00016039,            0.031789,          9.0107e-05,          2.0192e-05,             0.11028,            0.014012,            0.049426,              0.1648,             0.08469,           0.0016898,           0.0016898
                   3,             0.10476,            0.015587,            0.048775,             0.16438,          0.00042566,             0.13779,          0.00025859,          4.9123e-05,             0.10347,             0.01476,            0.048816,             0.16497,            0.079279,           0.0022793,           0.0022793
                   4,            0.097206,            0.016503,             0.04716,             0.16393,          0.00047312,             0.17005,          0.00034556,          8.9163e-05,            0.097957,            0.015292,            0.048022,             0.16481,            0.073865,           0.0028652,           0.0028652
                   5,            0.092868,            0.016802,            0.046421,             0.16386,          0.00061232,             0.19653,          0.00045474,           9.286e-05,            0.094025,            0.015585,            0.047192,             0.16542,            0.068447,           0.0034475,           0.0034475
                   6,            0.087712,            0.017152,            0.044274,             0.16321,          0.00076993,              0.2317,          0.00064444,          0.00011215,            0.091081,            0.015685,             0.04635,             0.16571,            0.063026,           0.0040262,           0.0040262
                   7,            0.082811,            0.017538,            0.044115,             0.16399,           0.0011159,             0.31075,          0.00088586,          0.00022151,            0.088794,            0.015714,            0.045605,             0.16592,            0.057601,           0.0046013,           0.0046013
                   8,            0.079956,            0.017656,            0.042817,             0.15838,           0.0013113,             0.37281,           0.0015047,          0.00033355,            0.086604,            0.015663,              0.0448,             0.16651,            0.052173,           0.0051728,           0.0051728
                   9,            0.076741,            0.017627,             0.04201,             0.15635,           0.0016231,             0.43176,           0.0025525,          0.00048064,            0.084826,            0.015572,            0.044006,             0.16879,            0.046741,           0.0057407,           0.0057407
                  10,            0.073853,            0.017455,            0.040881,             0.14833,           0.0020495,             0.56795,           0.0036425,          0.00083494,             0.08269,            0.015543,            0.043152,             0.17077,            0.041305,            0.006305,            0.006305
                  11,            0.070859,            0.017592,            0.039455,             0.13772,           0.0024235,             0.75125,           0.0049637,           0.0012625,            0.081119,            0.015456,            0.042505,             0.17759,            0.035866,           0.0068657,           0.0068657
                  12,            0.069891,             0.01722,            0.038952,             0.12884,           0.0023086,             0.72249,           0.0074324,           0.0017546,            0.078952,            0.015443,            0.041907,             0.18407,            0.030423,           0.0074228,           0.0074228
