# epoch,accuracy,precision,recall,f1_score
0,0.4262,0.1817,0.4262,0.2548
1,0.4262,0.1817,0.4262,0.2548
2,0.4262,0.1817,0.4262,0.2548
3,0.4262,0.1817,0.4262,0.2548
4,0.4262,0.1817,0.4262,0.2548
5,0.4262,0.1817,0.4262,0.2548
6,0.4262,0.1817,0.4262,0.2548
7,0.4754,0.3914,0.4754,0.4085
8,0.4536,0.3669,0.4536,0.3809
9,0.4699,0.3894,0.4699,0.4120
10,0.4536,0.3714,0.4536,0.3805
11,0.4590,0.3783,0.4590,0.4085
12,0.4590,0.3774,0.4590,0.4017
13,0.4317,0.3508,0.4317,0.3418
14,0.4590,0.3811,0.4590,0.4037
15,0.4645,0.3839,0.4645,0.3976
16,0.4481,0.3744,0.4481,0.3855
17,0.4809,0.4007,0.4809,0.4246
18,0.4973,0.4162,0.4973,0.4447
19,0.4372,0.3522,0.4372,0.3728
20,0.4208,0.3336,0.4208,0.3479
21,0.4426,0.3638,0.4426,0.3790
22,0.4645,0.3845,0.4645,0.4079
23,0.4699,0.3911,0.4699,0.4162
24,0.4645,0.3920,0.4645,0.4246
25,0.4809,0.4022,0.4809,0.4318
26,0.4809,0.4008,0.4809,0.4285
27,0.4809,0.4001,0.4809,0.4266
28,0.4590,0.3787,0.4590,0.4016
29,0.4645,0.3832,0.4645,0.4080
30,0.4754,0.3946,0.4754,0.4205
31,0.4754,0.3946,0.4754,0.4205
32,0.4754,0.3959,0.4754,0.4204
33,0.4699,0.3918,0.4699,0.4181
34,0.4699,0.3911,0.4699,0.4162
35,0.4699,0.3911,0.4699,0.4162
36,0.4645,0.3863,0.4645,0.4120
37,0.4754,0.3959,0.4754,0.4204
38,0.4754,0.3959,0.4754,0.4204
39,0.4754,0.3959,0.4754,0.4204
40,0.4809,0.4014,0.4809,0.4265
41,0.4699,0.3902,0.4699,0.4142
42,0.4699,0.3902,0.4699,0.4142
43,0.4809,0.4014,0.4809,0.4265
44,0.4754,0.3959,0.4754,0.4204
45,0.4863,0.4062,0.4863,0.4345
46,0.4754,0.3946,0.4754,0.4205
47,0.4699,0.3902,0.4699,0.4142
48,0.4754,0.3959,0.4754,0.4204
49,0.4699,0.3902,0.4699,0.4142
50,0.4699,0.3902,0.4699,0.4142
51,0.4699,0.3902,0.4699,0.4142
52,0.4699,0.3902,0.4699,0.4142
53,0.4699,0.3902,0.4699,0.4142
54,0.4699,0.3902,0.4699,0.4142
55,0.4699,0.3902,0.4699,0.4142
56,0.4699,0.3890,0.4699,0.4143
57,0.4699,0.3902,0.4699,0.4142
58,0.4699,0.3902,0.4699,0.4142
59,0.4699,0.3902,0.4699,0.4142
60,0.4645,0.3845,0.4645,0.4079
61,0.4754,0.3959,0.4754,0.4204
62,0.4754,0.3954,0.4754,0.4224
63,0.4754,0.3966,0.4754,0.4223
64,0.4754,0.3959,0.4754,0.4204
65,0.4754,0.3966,0.4754,0.4223
66,0.4699,0.3911,0.4699,0.4162
67,0.4754,0.3959,0.4754,0.4204
68,0.4754,0.3946,0.4754,0.4205
69,0.4754,0.3946,0.4754,0.4205
70,0.4754,0.3959,0.4754,0.4204
71,0.4699,0.3902,0.4699,0.4142
72,0.4809,0.4014,0.4809,0.4265
73,0.4754,0.3959,0.4754,0.4204
74,0.4754,0.3959,0.4754,0.4204
75,0.4754,0.3959,0.4754,0.4204
76,0.4645,0.3845,0.4645,0.4079
77,0.4645,0.3845,0.4645,0.4079
78,0.4699,0.3902,0.4699,0.4142
79,0.4645,0.3845,0.4645,0.4079
80,0.4754,0.3959,0.4754,0.4204
81,0.4590,0.3901,0.4590,0.4107
82,0.4481,0.3889,0.4481,0.4077
83,0.4317,0.3793,0.4317,0.3951
84,0.4372,0.3812,0.4372,0.3983
85,0.4208,0.3770,0.4208,0.3898
86,0.4208,0.3946,0.4208,0.4012
87,0.4098,0.3862,0.4098,0.3915
88,0.4153,0.3934,0.4153,0.3986
89,0.4098,0.3832,0.4098,0.3889
90,0.4044,0.3791,0.4044,0.3843
91,0.4208,0.3894,0.4208,0.3965
92,0.4262,0.3923,0.4262,0.4001
93,0.4372,0.3922,0.4372,0.4066
94,0.4208,0.3946,0.4208,0.4012
95,0.4153,0.3876,0.4153,0.3940
96,0.4208,0.3806,0.4208,0.3926
97,0.4208,0.3770,0.4208,0.3898
98,0.4098,0.3727,0.4098,0.3831
99,0.4044,0.3816,0.4044,0.3853
100,0.4044,0.3816,0.4044,0.3853
101,0.3716,0.3700,0.3716,0.3661
102,0.3934,0.3792,0.3934,0.3801
103,0.4044,0.3816,0.4044,0.3853
104,0.4208,0.3799,0.4208,0.3910
105,0.4208,0.3887,0.4208,0.3961
106,0.4098,0.3843,0.4098,0.3889
107,0.4208,0.3836,0.4208,0.3938
108,0.4098,0.3846,0.4098,0.3900
109,0.4044,0.3830,0.4044,0.3864
110,0.4044,0.3830,0.4044,0.3864
111,0.4098,0.3869,0.4098,0.3899
112,0.4044,0.3816,0.4044,0.3853
113,0.3825,0.3735,0.3825,0.3717
114,0.3497,0.3542,0.3497,0.3471
115,0.3770,0.3668,0.3770,0.3668
116,0.4044,0.3816,0.4044,0.3853
117,0.3989,0.3789,0.3989,0.3817
118,0.3770,0.3728,0.3770,0.3700
119,0.3934,0.3808,0.3934,0.3812
120,0.3989,0.3803,0.3989,0.3827
121,0.4098,0.3843,0.4098,0.3889
122,0.4098,0.3831,0.4098,0.3878
123,0.4153,0.3859,0.4153,0.3914
124,0.4153,0.3859,0.4153,0.3914
125,0.4044,0.3816,0.4044,0.3853
126,0.4098,0.3843,0.4098,0.3889
127,0.4044,0.3816,0.4044,0.3853
128,0.4044,0.3816,0.4044,0.3853
129,0.4208,0.3899,0.4208,0.3960
130,0.4098,0.3843,0.4098,0.3889
131,0.3661,0.3641,0.3661,0.3600
132,0.3224,0.3477,0.3224,0.3318
133,0.3661,0.3675,0.3661,0.3621
134,0.4044,0.3798,0.4044,0.3837
135,0.4153,0.3871,0.4153,0.3924
136,0.3989,0.3819,0.3989,0.3841
