               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070105,          0.00066925,           0.0052994,             0.10757,          5.5741e-05,           0.0037879,          3.0011e-05,          3.0011e-06,            0.069759,          0.00072416,            0.005376,             0.10535,              0.0928,              0.0008,              0.0008
                   1,            0.068129,          0.00075063,           0.0052745,            0.098746,            5.16e-05,           0.0052083,           0.0001347,          2.6939e-05,            0.065466,          0.00094063,           0.0052936,             0.10303,            0.084695,           0.0016949,           0.0016949
                   2,            0.063626,          0.00095699,           0.0051198,            0.096901,          0.00031655,            0.055127,          0.00022493,            4.49e-05,            0.059629,           0.0012764,           0.0051297,             0.10333,            0.076584,           0.0025844,           0.0025844
                   3,            0.059245,           0.0012124,            0.004865,            0.094179,          0.00066967,            0.054735,          0.00038937,          7.1637e-05,            0.055634,           0.0015338,           0.0049091,             0.10352,            0.068469,           0.0034685,           0.0034685
                   4,            0.056341,            0.001412,           0.0047397,            0.092705,           0.0010312,             0.11166,          0.00067268,          0.00013785,            0.053192,           0.0017036,           0.0046527,             0.10413,            0.060347,           0.0043472,           0.0043472
                   5,            0.052625,            0.001639,           0.0044056,            0.093417,           0.0010021,             0.11994,          0.00059777,          0.00016184,            0.050742,           0.0018971,           0.0043808,             0.10437,            0.052221,           0.0052205,           0.0052205
                   6,            0.049812,           0.0018524,           0.0041153,            0.095272,           0.0011084,             0.13216,          0.00069442,          0.00017078,            0.047919,           0.0021227,           0.0040714,             0.10419,            0.044088,           0.0060884,           0.0060884
                   7,            0.046544,           0.0020851,            0.003902,            0.092382,           0.0013018,              0.1553,           0.0008355,          0.00020851,            0.045641,             0.00231,           0.0037939,             0.10382,            0.035951,           0.0069509,           0.0069509
                   8,            0.044016,           0.0022851,           0.0037006,            0.085377,           0.0014924,             0.18608,          0.00098769,          0.00025355,             0.04462,           0.0023805,           0.0036346,              0.1076,            0.027808,            0.007808,            0.007808
                   9,            0.042417,           0.0023911,           0.0035802,            0.081719,           0.0018858,             0.22339,           0.0013094,          0.00034493,            0.043294,           0.0025018,           0.0035294,             0.11279,             0.01966,           0.0086597,           0.0086597
                  10,             0.04112,           0.0025052,           0.0035144,            0.071577,           0.0018475,             0.20275,           0.0012737,          0.00029207,            0.042268,            0.002583,           0.0034561,             0.12317,            0.011506,            0.009506,            0.009506
                  11,            0.040789,           0.0025524,           0.0034835,            0.066112,           0.0024826,             0.27869,           0.0017906,          0.00042439,            0.041137,           0.0026817,            0.003382,             0.14026,             0.00967,             0.00967,             0.00967
                  12,            0.040123,           0.0025465,           0.0034255,             0.05606,            0.002439,             0.29366,           0.0019812,           0.0005727,            0.040738,           0.0026947,           0.0033463,              0.1405,             0.00967,             0.00967,             0.00967
                  13,            0.039744,           0.0025823,           0.0033813,            0.057988,           0.0028523,             0.31477,           0.0022691,          0.00062519,            0.040533,           0.0027015,           0.0033014,              0.1405,             0.00964,             0.00964,             0.00964
                  14,            0.039421,           0.0026068,           0.0033596,            0.057627,           0.0029147,             0.38797,           0.0026194,          0.00064157,             0.04021,           0.0027252,           0.0032941,              0.1427,             0.00961,             0.00961,             0.00961
                  15,            0.038417,           0.0026392,           0.0033529,            0.049679,           0.0039193,             0.42945,           0.0041658,           0.0010737,            0.039522,           0.0027692,           0.0032986,             0.15259,             0.00958,             0.00958,             0.00958
                  16,             0.03813,           0.0026721,           0.0032972,            0.058439,            0.004073,             0.44006,           0.0044352,           0.0013376,            0.039224,           0.0027878,           0.0032584,             0.15601,             0.00955,             0.00955,             0.00955
                  17,            0.037477,           0.0027221,            0.003302,            0.051847,           0.0040579,             0.49134,           0.0076167,           0.0016564,            0.039523,           0.0027274,           0.0031989,             0.15649,             0.00952,             0.00952,             0.00952
                  18,            0.037219,           0.0027197,           0.0032118,            0.047131,           0.0042141,             0.56776,           0.0091939,           0.0025341,            0.038167,           0.0028295,           0.0031329,             0.15894,             0.00949,             0.00949,             0.00949
                  19,            0.036695,           0.0027249,           0.0032097,             0.04532,           0.0044458,             0.58306,           0.0088428,           0.0025268,             0.03865,            0.002759,           0.0030798,             0.17627,             0.00946,             0.00946,             0.00946
