# epoch,accuracy,precision,recall,f1_score
0,0.4262,0.1817,0.4262,0.2548
1,0.4262,0.1817,0.4262,0.2548
2,0.4262,0.1817,0.4262,0.2548
3,0.4262,0.1817,0.4262,0.2548
4,0.4262,0.1817,0.4262,0.2548
5,0.4262,0.1817,0.4262,0.2548
6,0.4262,0.1817,0.4262,0.2548
7,0.4262,0.1817,0.4262,0.2548
8,0.4536,0.3761,0.4536,0.4037
9,0.4372,0.3588,0.4372,0.3830
10,0.4208,0.3515,0.4208,0.3809
11,0.4372,0.3515,0.4372,0.3586
12,0.4754,0.3944,0.4754,0.4245
13,0.4645,0.3832,0.4645,0.4103
14,0.4590,0.3775,0.4590,0.3992
15,0.4536,0.3802,0.4536,0.3691
16,0.4699,0.4082,0.4699,0.3800
17,0.4262,0.3145,0.4262,0.3067
18,0.4426,0.3567,0.4426,0.3733
19,0.4481,0.3670,0.4481,0.3830
20,0.4536,0.3729,0.4536,0.3837
21,0.4809,0.4007,0.4809,0.4246
22,0.4809,0.4007,0.4809,0.4246
23,0.4863,0.4063,0.4863,0.4307
24,0.4754,0.3973,0.4754,0.4203
25,0.4863,0.4056,0.4863,0.4327
26,0.4918,0.4117,0.4918,0.4435
27,0.4754,0.3961,0.4754,0.4260
28,0.4699,0.3902,0.4699,0.4142
29,0.4426,0.3603,0.4426,0.3793
30,0.4645,0.3830,0.4645,0.4005
31,0.4699,0.3899,0.4699,0.4163
32,0.4645,0.3845,0.4645,0.4079
33,0.4536,0.3717,0.4536,0.3899
34,0.4481,0.3667,0.4481,0.3859
35,0.4645,0.3832,0.4645,0.4080
36,0.4536,0.3727,0.4536,0.3952
37,0.4481,0.3667,0.4481,0.3887
38,0.4645,0.3832,0.4645,0.4080
39,0.4645,0.3832,0.4645,0.4080
40,0.4699,0.3890,0.4699,0.4143
41,0.4754,0.3946,0.4754,0.4205
42,0.4590,0.3774,0.4590,0.4017
43,0.4645,0.3845,0.4645,0.4079
44,0.4645,0.3845,0.4645,0.4079
45,0.4699,0.3894,0.4699,0.4120
46,0.4754,0.3951,0.4754,0.4183
47,0.4645,0.3835,0.4645,0.4056
48,0.4645,0.3845,0.4645,0.4079
49,0.4645,0.3845,0.4645,0.4079
50,0.4699,0.3902,0.4699,0.4142
51,0.4645,0.3845,0.4645,0.4079
52,0.4645,0.3845,0.4645,0.4079
53,0.4645,0.3845,0.4645,0.4079
54,0.4699,0.3878,0.4699,0.4144
55,0.4699,0.3890,0.4699,0.4143
56,0.4754,0.3946,0.4754,0.4205
57,0.4699,0.3890,0.4699,0.4143
58,0.4590,0.3787,0.4590,0.4016
59,0.4590,0.3775,0.4590,0.3992
60,0.4645,0.3845,0.4645,0.4079
61,0.4645,0.3845,0.4645,0.4079
62,0.4699,0.3899,0.4699,0.4163
63,0.4699,0.3911,0.4699,0.4162
64,0.4809,0.4001,0.4809,0.4266
65,0.4699,0.3888,0.4699,0.4164
66,0.4699,0.3902,0.4699,0.4142
67,0.4645,0.3845,0.4645,0.4079
68,0.4645,0.3845,0.4645,0.4079
69,0.4699,0.3902,0.4699,0.4142
70,0.4699,0.3890,0.4699,0.4143
71,0.4699,0.3890,0.4699,0.4143
72,0.4645,0.3860,0.4645,0.4078
73,0.4590,0.3787,0.4590,0.4016
74,0.4754,0.3946,0.4754,0.4205
75,0.4754,0.3946,0.4754,0.4205
76,0.4699,0.3902,0.4699,0.4142
77,0.4699,0.3902,0.4699,0.4142
78,0.4645,0.3845,0.4645,0.4079
79,0.4590,0.3786,0.4590,0.4039
80,0.4645,0.3843,0.4645,0.4101
81,0.3989,0.3701,0.3989,0.3775
82,0.4044,0.3723,0.4044,0.3806
83,0.4262,0.3838,0.4262,0.3955
84,0.4153,0.3803,0.4153,0.3905
85,0.3934,0.3855,0.3934,0.3857
86,0.3989,0.3924,0.3989,0.3916
87,0.3825,0.3706,0.3825,0.3702
88,0.3989,0.3677,0.3989,0.3747
89,0.4153,0.3830,0.4153,0.3887
90,0.4317,0.3841,0.4317,0.3980
91,0.4262,0.3779,0.4262,0.3935
92,0.4262,0.3979,0.4262,0.4061
93,0.4208,0.3859,0.4208,0.3966
94,0.4153,0.3741,0.4153,0.3847
95,0.4208,0.3744,0.4208,0.3868
96,0.4153,0.3741,0.4153,0.3847
97,0.4153,0.3797,0.4153,0.3889
98,0.4153,0.3796,0.4153,0.3892
99,0.4153,0.3888,0.4153,0.3940
100,0.4044,0.3846,0.4044,0.3878
101,0.3497,0.3538,0.3497,0.3475
102,0.3770,0.3709,0.3770,0.3691
103,0.4044,0.3835,0.4044,0.3878
104,0.3934,0.3781,0.3934,0.3802
105,0.3880,0.3711,0.3880,0.3741
106,0.3607,0.3634,0.3607,0.3583
107,0.3552,0.3633,0.3552,0.3554
108,0.3825,0.3751,0.3825,0.3727
109,0.4208,0.3900,0.4208,0.3972
110,0.4153,0.3890,0.4153,0.3951
111,0.3989,0.3746,0.3989,0.3792
112,0.4481,0.4020,0.4481,0.4094
113,0.4426,0.3776,0.4426,0.3971
114,0.4426,0.3881,0.4426,0.4044
115,0.4153,0.3761,0.4153,0.3864
116,0.3934,0.3765,0.3934,0.3791
117,0.3989,0.3778,0.3989,0.3817
118,0.3989,0.3778,0.3989,0.3817
119,0.3989,0.3784,0.3989,0.3801
120,0.4098,0.3812,0.4098,0.3862
121,0.4208,0.3888,0.4208,0.3949
122,0.4208,0.3888,0.4208,0.3949
123,0.4208,0.3916,0.4208,0.3976
124,0.4317,0.3974,0.4317,0.4046
125,0.4098,0.3831,0.4098,0.3878
126,0.3989,0.3745,0.3989,0.3781
127,0.4044,0.3773,0.4044,0.3816
128,0.4044,0.3785,0.4044,0.3827
129,0.3989,0.3758,0.3989,0.3791
130,0.4098,0.3857,0.4098,0.3900
131,0.3989,0.3803,0.3989,0.3827
132,0.3825,0.3738,0.3825,0.3727
133,0.3825,0.3723,0.3825,0.3716
134,0.4044,0.3785,0.4044,0.3827
135,0.4098,0.3843,0.4098,0.3889
136,0.4317,0.3948,0.4317,0.4019
