               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070013,          0.00046497,           0.0052275,             0.10755,          8.6096e-05,            0.031399,           4.791e-05,           1.683e-05,            0.069756,          0.00050663,           0.0053476,             0.10535,              0.0928,              0.0008,              0.0008
                   1,            0.068038,          0.00052117,           0.0053088,            0.098776,           0.0001609,            0.032292,          0.00016517,          3.5196e-05,            0.065372,          0.00065774,           0.0052881,             0.10291,            0.084695,           0.0016949,           0.0016949
                   2,            0.063344,            0.000667,            0.005167,            0.096925,          0.00040626,             0.13098,          0.00029391,          5.9998e-05,              0.0595,          0.00089099,           0.0051389,             0.10333,            0.076584,           0.0025844,           0.0025844
                   3,            0.059161,          0.00083556,           0.0049207,            0.094181,          0.00062117,             0.20751,          0.00044501,          0.00010709,            0.055536,           0.0010633,           0.0049411,             0.10352,            0.068469,           0.0034685,           0.0034685
                   4,            0.056432,          0.00095868,           0.0048285,            0.092739,          0.00076601,             0.24927,          0.00059659,          0.00011401,            0.052937,            0.001179,           0.0046783,             0.10413,            0.060347,           0.0043472,           0.0043472
                   5,            0.052618,           0.0011074,           0.0045016,            0.093452,          0.00070373,             0.20034,           0.0005489,          0.00011171,             0.05052,           0.0012957,           0.0044577,             0.10449,            0.052221,           0.0052205,           0.0052205
                   6,            0.049846,           0.0012363,           0.0042652,            0.095338,          0.00092543,             0.27208,          0.00077362,          0.00018322,            0.048155,           0.0014088,            0.004216,             0.10419,            0.044088,           0.0060884,           0.0060884
                   7,            0.046685,           0.0013758,           0.0040127,             0.09385,           0.0012938,             0.35488,           0.0011389,          0.00025152,            0.045971,           0.0015146,           0.0039496,             0.10315,            0.035951,           0.0069509,           0.0069509
                   8,            0.043878,           0.0015101,           0.0038399,            0.088606,           0.0015616,              0.4253,            0.001495,          0.00036137,            0.044822,           0.0015648,           0.0037857,             0.10382,            0.027808,            0.007808,            0.007808
                   9,             0.04252,           0.0015567,           0.0036855,            0.085484,           0.0019061,             0.51507,           0.0021078,          0.00049439,            0.043734,           0.0016105,           0.0036621,             0.11047,             0.01966,           0.0086597,           0.0086597
                  10,            0.040897,           0.0016325,           0.0035981,            0.075816,            0.002125,             0.55001,           0.0024235,          0.00064098,            0.042695,           0.0016539,           0.0035577,             0.11884,            0.011506,            0.009506,            0.009506
                  11,            0.040354,           0.0016706,           0.0035308,            0.069454,           0.0022659,             0.57302,           0.0025285,          0.00066959,            0.041779,           0.0016869,           0.0034579,             0.13147,             0.00967,             0.00967,             0.00967
                  12,            0.039917,           0.0016403,           0.0034625,            0.066469,           0.0022362,             0.55967,           0.0030356,          0.00072325,            0.041247,           0.0017033,           0.0034186,              0.1311,             0.00967,             0.00967,             0.00967
                  13,            0.039415,           0.0016541,           0.0034359,            0.064755,           0.0025143,             0.62948,           0.0048245,           0.0010954,             0.04102,           0.0016979,           0.0033527,             0.13428,             0.00964,             0.00964,             0.00964
