model_type,architecture,mAP_0.5,mAP_0.5:0.95,cls_accuracy,cls_precision,cls_recall,cls_f1_score
YOLOv5-L,classify,,,97.37,,,
YOLOv5-M,classify,,,98.25,,,
YOLOv5-MC,backbone,0.7487679999999999,0.298182,97.228,97.30000000000001,97.228,97.24199999999999
YOLOv5-MC,p3,0.73305,0.294698,97.33800000000001,97.424,97.33800000000001,97.34400000000001
YOLOv5-MC,p4,0.732634,0.290796,96.34,96.394,96.34,96.34
YOLOv5-MC,p5,0.724618,0.293192,97.112,97.158,97.112,97.11800000000001
YOLOv5-MLC,backbone,0.748666,0.29622000000000004,97.226,97.286,97.226,97.228
YOLOv5-MLC,p3,0.720332,0.27164599999999994,97.228,97.24600000000001,97.228,97.228
YOLOv5-MLC,p4,0.730622,0.283636,97.224,97.35400000000001,97.224,97.254
YOLOv5-MLC,p5,0.712282,0.28421799999999997,96.89,97.028,96.89,96.888
YOLOv5-S,classify,,,97.78,,,
YOLOv5-SC,backbone,0.7945439999999999,0.34940000000000004,97.44800000000001,97.48599999999999,97.44800000000001,97.456
YOLOv5-SC,p3,0.765414,0.338912,97.00800000000001,97.106,97.00800000000001,97.028
YOLOv5-SC,p4,0.7656620000000001,0.335348,97.11800000000001,97.16799999999999,97.11800000000001,97.13000000000001
YOLOv5-SC,p5,0.7774639999999999,0.346318,97.454,97.528,97.454,97.46600000000001
