                  epoch,             train/loss,              test/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,                   lr/0
                      0,                 0.9353,                 4.4536,                0.53595,                      1,              0.0009967
                      1,                0.82459,                 4.0082,                 0.4085,                      1,              0.0009934
                      2,                0.76442,                0.71562,                0.78758,                      1,              0.0009901
                      3,                0.70381,                0.65925,                0.80065,                      1,              0.0009868
                      4,                0.70903,                0.55622,                0.87582,                      1,              0.0009835
                      5,                0.67666,                0.70917,                0.79412,                      1,              0.0009802
                      6,                0.68148,                0.57407,                0.85948,                      1,              0.0009769
                      7,                0.70088,                0.88981,                0.64706,                      1,              0.0009736
                      8,                0.71406,                 3.1802,                0.34314,                      1,              0.0009703
                      9,                0.62939,                0.94511,                0.65033,                      1,               0.000967
                     10,                0.61211,                0.57692,                0.85621,                      1,              0.0009637
                     11,                0.61282,                0.53395,                0.91176,                      1,              0.0009604
                     12,                0.59886,                0.84544,                0.69935,                      1,              0.0009571
                     13,                0.62752,                0.57443,                 0.8366,                      1,              0.0009538
                     14,                0.60706,                0.52608,                0.86928,                      1,              0.0009505
                     15,                0.56614,                0.76615,                0.74837,                      1,              0.0009472
                     16,                0.62063,                 0.5095,                0.89542,                      1,              0.0009439
                     17,                0.58897,                0.64289,                0.83987,                      1,              0.0009406
                     18,                0.58055,                0.57917,                0.86275,                      1,              0.0009373
                     19,                0.59736,                0.76744,                0.74183,                      1,               0.000934
                     20,                0.55969,                0.58419,                0.88889,                      1,              0.0009307
                     21,                0.58972,                0.47422,                 0.9281,                      1,              0.0009274
                     22,                0.57225,                0.53824,                0.89869,                      1,              0.0009241
                     23,                0.59535,                0.53004,                0.87909,                      1,              0.0009208
                     24,                0.54227,                0.52385,                0.89542,                      1,              0.0009175
                     25,                0.56761,                0.48567,                0.92484,                      1,              0.0009142
                     26,                0.54248,                0.45753,                0.92157,                      1,              0.0009109
                     27,                 0.5181,                0.46979,                 0.9183,                      1,              0.0009076
                     28,                0.53244,                0.49523,                0.89869,                      1,              0.0009043
                     29,                0.51535,                0.44483,                0.94118,                      1,               0.000901
                     30,                0.52322,                0.49421,                0.89869,                      1,              0.0008977
                     31,                0.52644,                0.46726,                0.93464,                      1,              0.0008944
                     32,                0.52488,                0.40618,                0.96078,                      1,              0.0008911
                     33,                 0.4963,                0.50155,                 0.9183,                      1,              0.0008878
                     34,                0.53781,                0.49545,                0.90523,                      1,              0.0008845
                     35,                0.49967,                0.45156,                0.94771,                      1,              0.0008812
                     36,                0.55678,                 0.7279,                0.80065,                      1,              0.0008779
                     37,                0.52413,                0.53333,                0.89216,                      1,              0.0008746
                     38,                0.51664,                0.42829,                0.95098,                      1,              0.0008713
                     39,                0.49667,                0.44778,                0.93791,                      1,               0.000868
                     40,                0.49996,                0.48543,                0.89869,                      1,              0.0008647
                     41,                0.50427,                0.44894,                 0.9281,                      1,              0.0008614
                     42,                 0.4525,                0.43147,                0.93464,                      1,              0.0008581
                     43,                0.49525,                0.48482,                0.93791,                      1,              0.0008548
                     44,                0.50382,                0.51727,                0.87255,                      1,              0.0008515
                     45,                0.49486,                0.60392,                0.84641,                      1,              0.0008482
                     46,                0.48004,                0.57833,                0.88235,                      1,              0.0008449
                     47,                0.47129,                0.50218,                0.92157,                      1,              0.0008416
                     48,                0.47334,                 0.5639,                0.87255,                      1,              0.0008383
                     49,                0.49816,                0.47151,                0.92484,                      1,               0.000835
                     50,                0.46702,                0.47074,                0.91503,                      1,              0.0008317
                     51,                0.45833,                0.49913,                0.89542,                      1,              0.0008284
                     52,                0.47721,                0.47514,                0.93137,                      1,              0.0008251
                     53,                0.45922,                0.46702,                 0.9281,                      1,              0.0008218
                     54,                0.47157,                0.53441,                0.86928,                      1,              0.0008185
                     55,                0.47266,                0.42322,                0.95425,                      1,              0.0008152
                     56,                0.46509,                0.61415,                0.85621,                      1,              0.0008119
                     57,                0.49109,                0.44635,                0.95425,                      1,              0.0008086
                     58,                0.48653,                0.51799,                0.90196,                      1,              0.0008053
                     59,                0.47982,                 0.4253,                0.94118,                      1,               0.000802
                     60,                0.45839,                0.46752,                0.93137,                      1,              0.0007987
                     61,                0.47198,                0.39335,                0.97059,                      1,              0.0007954
                     62,                0.49695,                 0.4648,                0.92484,                      1,              0.0007921
                     63,                0.47412,                0.55555,                0.89869,                      1,              0.0007888
                     64,                0.51234,                0.68851,                 0.8268,                      1,              0.0007855
                     65,                0.50412,                0.45279,                0.93791,                      1,              0.0007822
                     66,                0.51144,                0.50711,                0.89216,                      1,              0.0007789
                     67,                0.49223,                0.45541,                0.93464,                      1,              0.0007756
                     68,                0.46701,                0.43225,                0.93791,                      1,              0.0007723
                     69,                0.46037,                0.40472,                0.95098,                      1,               0.000769
                     70,                0.44745,                0.45313,                0.94118,                      1,              0.0007657
                     71,                0.44566,                0.41884,                0.96078,                      1,              0.0007624
                     72,                0.44405,                0.45762,                0.93464,                      1,              0.0007591
                     73,                0.47517,                0.44421,                0.93791,                      1,              0.0007558
                     74,                0.45646,                0.42993,                0.95098,                      1,              0.0007525
                     75,                0.45791,                0.44317,                0.93791,                      1,              0.0007492
                     76,                0.44657,                0.42851,                0.94444,                      1,              0.0007459
                     77,                0.47905,                0.51377,                 0.9183,                      1,              0.0007426
                     78,                0.46476,                0.43448,                0.95425,                      1,              0.0007393
                     79,                0.46059,                0.52807,                0.89216,                      1,               0.000736
                     80,                0.43484,                0.49861,                0.91176,                      1,              0.0007327
                     81,                0.47168,                0.42837,                0.94118,                      1,              0.0007294
                     82,                0.47501,                0.58639,                0.85294,                      1,              0.0007261
                     83,                0.45574,                0.40881,                0.96078,                      1,              0.0007228
                     84,                0.44373,                0.47456,                0.90196,                      1,              0.0007195
                     85,                0.45228,                0.54605,                0.85621,                      1,              0.0007162
                     86,                0.45171,                0.51288,                0.88562,                      1,              0.0007129
                     87,                0.44542,                0.42381,                0.93464,                      1,              0.0007096
                     88,                0.45466,                0.43382,                0.95098,                      1,              0.0007063
                     89,                0.48648,                0.46069,                0.91176,                      1,               0.000703
                     90,                0.46674,                0.51656,                0.89869,                      1,              0.0006997
                     91,                0.45578,                0.48346,                0.92484,                      1,              0.0006964
                     92,                0.43988,                0.40978,                0.95098,                      1,              0.0006931
                     93,                0.44022,                0.40305,                0.95425,                      1,              0.0006898
                     94,                0.45824,                0.42272,                0.97059,                      1,              0.0006865
                     95,                0.45178,                0.51019,                0.89869,                      1,              0.0006832
                     96,                0.43966,                0.38954,                0.97059,                      1,              0.0006799
                     97,                0.43555,                0.39123,                0.95752,                      1,              0.0006766
                     98,                0.43722,                0.40449,                0.95425,                      1,              0.0006733
                     99,                0.43996,                0.45631,                 0.9281,                      1,                0.00067
                    100,                0.44114,                0.41881,                0.96078,                      1,              0.0006667
                    101,                0.45507,                0.45959,                0.93464,                      1,              0.0006634
                    102,                0.44314,                0.43162,                0.95098,                      1,              0.0006601
                    103,                0.44565,                0.40542,                0.97059,                      1,              0.0006568
                    104,                0.44519,                0.41347,                0.95098,                      1,              0.0006535
                    105,                0.43389,                0.41855,                0.94118,                      1,              0.0006502
                    106,                0.45999,                0.50429,                 0.9085,                      1,              0.0006469
                    107,                0.47502,                0.51927,                0.92484,                      1,              0.0006436
                    108,                0.45118,                0.45721,                0.94444,                      1,              0.0006403
                    109,                0.46472,                0.44191,                0.93791,                      1,               0.000637
                    110,                0.44897,                0.40323,                0.96732,                      1,              0.0006337
                    111,                0.43543,                0.53214,                0.88562,                      1,              0.0006304
                    112,                0.45911,                0.46421,                0.91503,                      1,              0.0006271
                    113,                0.44827,                0.45016,                 0.9281,                      1,              0.0006238
                    114,                0.44933,                0.42167,                0.94771,                      1,              0.0006205
                    115,                0.43311,                0.42249,                0.95752,                      1,              0.0006172
                    116,                0.43206,                0.41428,                0.95098,                      1,              0.0006139
                    117,                0.44907,                0.40777,                0.95752,                      1,              0.0006106
                    118,                0.42764,                0.40373,                0.94771,                      1,              0.0006073
                    119,                0.43562,                0.44125,                0.94444,                      1,               0.000604
                    120,                0.45031,                0.43853,                0.94771,                      1,              0.0006007
                    121,                0.43744,                0.43845,                0.94444,                      1,              0.0005974
                    122,                0.47187,                0.40515,                0.96078,                      1,              0.0005941
                    123,                 0.4528,                0.62052,                 0.8366,                      1,              0.0005908
                    124,                0.44586,                0.45837,                0.93791,                      1,              0.0005875
