# epoch,accuracy,precision,recall,f1_score
0,0.1833,0.0336,0.1833,0.0568
1,0.1833,0.0336,0.1833,0.0568
2,0.1833,0.0336,0.1833,0.0568
3,0.1833,0.0336,0.1833,0.0568
4,0.1833,0.0336,0.1833,0.0568
5,0.1833,0.0336,0.1833,0.0568
6,0.1833,0.0336,0.1833,0.0568
7,0.1833,0.0336,0.1833,0.0568
8,0.1833,0.0336,0.1833,0.0568
9,0.1833,0.0336,0.1833,0.0568
10,0.1833,0.0336,0.1833,0.0568
11,0.1833,0.0336,0.1833,0.0568
12,0.1833,0.0336,0.1833,0.0568
13,0.1833,0.0336,0.1833,0.0568
14,0.1833,0.0336,0.1833,0.0568
15,0.1833,0.0336,0.1833,0.0568
16,0.5056,0.3333,0.5056,0.3600
17,0.5167,0.4460,0.5167,0.3578
18,0.5000,0.2614,0.5000,0.3433
19,0.5056,0.3363,0.5056,0.3626
20,0.5056,0.3184,0.5056,0.3643
21,0.5111,0.3408,0.5111,0.3678
22,0.5111,0.3532,0.5111,0.3669
23,0.5111,0.3438,0.5111,0.3679
24,0.5056,0.3240,0.5056,0.3548
25,0.5056,0.3378,0.5056,0.3536
26,0.5056,0.3378,0.5056,0.3536
27,0.5000,0.2584,0.5000,0.3407
28,0.5111,0.2612,0.5111,0.3458
29,0.5111,0.2612,0.5111,0.3458
30,0.5111,0.2612,0.5111,0.3458
31,0.5111,0.2612,0.5111,0.3458
32,0.5111,0.2612,0.5111,0.3458
33,0.5111,0.2612,0.5111,0.3458
34,0.5111,0.2612,0.5111,0.3458
35,0.5111,0.2612,0.5111,0.3458
36,0.5111,0.2612,0.5111,0.3458
37,0.5111,0.2612,0.5111,0.3458
38,0.5111,0.2612,0.5111,0.3458
39,0.5111,0.2612,0.5111,0.3458
40,0.5111,0.2612,0.5111,0.3458
41,0.5111,0.2612,0.5111,0.3458
42,0.5111,0.2612,0.5111,0.3458
43,0.5111,0.2612,0.5111,0.3458
44,0.5111,0.2612,0.5111,0.3458
45,0.5111,0.2612,0.5111,0.3458
46,0.5111,0.2612,0.5111,0.3458
47,0.5111,0.2612,0.5111,0.3458
48,0.5111,0.2612,0.5111,0.3458
49,0.5111,0.2612,0.5111,0.3458
50,0.5111,0.2612,0.5111,0.3458
51,0.5111,0.2612,0.5111,0.3458
52,0.5111,0.2612,0.5111,0.3458
53,0.5111,0.2612,0.5111,0.3458
54,0.5111,0.2612,0.5111,0.3458
55,0.5111,0.2612,0.5111,0.3458
56,0.5111,0.2612,0.5111,0.3458
57,0.5111,0.2612,0.5111,0.3458
58,0.5389,0.5758,0.5389,0.4045
59,0.5167,0.5682,0.5167,0.3579
60,0.5167,0.5682,0.5167,0.3579
61,0.5167,0.5682,0.5167,0.3579
62,0.5111,0.2627,0.5111,0.3470
63,0.5278,0.5743,0.5278,0.3838
64,0.5167,0.5682,0.5167,0.3579
65,0.5111,0.2642,0.5111,0.3483
66,0.5167,0.3008,0.5167,0.3630
67,0.5333,0.6156,0.5333,0.3975
68,0.5167,0.5743,0.5167,0.3631
69,0.5111,0.2627,0.5111,0.3470
70,0.5167,0.5727,0.5167,0.3618
71,0.5167,0.5743,0.5167,0.3631
72,0.5667,0.5988,0.5667,0.4662
73,0.5500,0.6256,0.5500,0.4350
74,0.5111,0.2687,0.5111,0.3522
75,0.5222,0.6021,0.5222,0.3798
76,0.5111,0.2702,0.5111,0.3536
77,0.5111,0.2657,0.5111,0.3496
78,0.5111,0.2672,0.5111,0.3509
79,0.5167,0.5789,0.5167,0.3671
80,0.5611,0.6330,0.5611,0.4538
81,0.5556,0.6595,0.5556,0.4394
82,0.5389,0.6380,0.5389,0.4133
83,0.5389,0.6300,0.5389,0.4162
84,0.5278,0.3211,0.5278,0.3898
85,0.5389,0.3440,0.5389,0.4048
86,0.5111,0.2734,0.5111,0.3562
87,0.5389,0.6307,0.5389,0.4132
88,0.5667,0.6462,0.5667,0.4753
89,0.6167,0.6860,0.6167,0.5513
90,0.6056,0.6764,0.6056,0.5308
91,0.5278,0.6038,0.5278,0.3917
92,0.6500,0.7056,0.6500,0.6057
93,0.6278,0.7258,0.6278,0.5725
94,0.5667,0.6735,0.5667,0.4617
95,0.5556,0.6655,0.5556,0.4340
96,0.5556,0.6628,0.5556,0.4400
97,0.6111,0.6853,0.6111,0.5383
98,0.5222,0.6035,0.5222,0.3774
99,0.7611,0.7604,0.7611,0.7284
100,0.6444,0.7564,0.6444,0.6038
101,0.7167,0.7763,0.7167,0.7066
102,0.7111,0.7629,0.7111,0.6960
103,0.7889,0.8014,0.7889,0.7784
104,0.7667,0.7735,0.7667,0.7433
105,0.5778,0.6801,0.5778,0.4759
106,0.5722,0.3807,0.5722,0.4539
107,0.5722,0.6627,0.5722,0.4756
108,0.5444,0.6468,0.5444,0.4210
109,0.6556,0.7210,0.6556,0.6071
110,0.7278,0.7640,0.7278,0.6954
111,0.7167,0.7704,0.7167,0.6714
112,0.7222,0.7423,0.7222,0.6866
113,0.7556,0.7927,0.7556,0.7356
114,0.7111,0.7603,0.7111,0.6866
115,0.6333,0.7287,0.6333,0.5826
116,0.6167,0.7590,0.6167,0.5462
117,0.5722,0.6815,0.5722,0.4702
118,0.6056,0.6917,0.6056,0.5319
119,0.6278,0.7273,0.6278,0.5604
120,0.6111,0.6969,0.6111,0.5442
121,0.6389,0.7266,0.6389,0.5762
122,0.5722,0.3806,0.5722,0.4532
123,0.5944,0.7149,0.5944,0.4939
124,0.7278,0.7659,0.7278,0.7121
125,0.8444,0.8571,0.8444,0.8313
126,0.7889,0.8102,0.7889,0.7765
127,0.7500,0.7985,0.7500,0.7367
128,0.7167,0.7459,0.7167,0.6876
129,0.8389,0.8482,0.8389,0.8315
130,0.7778,0.7962,0.7778,0.7617
131,0.7556,0.8020,0.7556,0.7365
132,0.7667,0.7967,0.7667,0.7401
133,0.8778,0.8762,0.8778,0.8694
134,0.7278,0.7994,0.7278,0.7106
135,0.8167,0.8363,0.8167,0.8088
136,0.7333,0.7596,0.7333,0.7045
137,0.8389,0.8476,0.8389,0.8328
138,0.6944,0.7589,0.6944,0.6585
139,0.7333,0.7800,0.7333,0.6895
140,0.6778,0.7733,0.6778,0.6357
141,0.7889,0.8347,0.7889,0.7751
142,0.7444,0.7991,0.7444,0.7229
143,0.7444,0.8066,0.7444,0.7234
144,0.8389,0.8457,0.8389,0.8305
145,0.8278,0.8532,0.8278,0.8185
146,0.7944,0.8208,0.7944,0.7823
147,0.7056,0.8351,0.7056,0.6695
148,0.8444,0.8786,0.8444,0.8466
149,0.8556,0.8705,0.8556,0.8532
150,0.8889,0.8896,0.8889,0.8835
151,0.7333,0.7954,0.7333,0.7147
152,0.6722,0.7667,0.6722,0.6271
153,0.8944,0.8905,0.8944,0.8900
154,0.9056,0.9094,0.9056,0.8976
155,0.9167,0.9144,0.9167,0.9148
156,0.8056,0.8236,0.8056,0.7959
157,0.7722,0.8239,0.7722,0.7605
158,0.8222,0.8422,0.8222,0.8145
159,0.8000,0.8241,0.8000,0.7906
160,0.9167,0.9216,0.9167,0.9168
161,0.9278,0.9292,0.9278,0.9261
162,0.7667,0.8002,0.7667,0.7503
163,0.7444,0.7969,0.7444,0.7237
164,0.9278,0.9262,0.9278,0.9252
165,0.8667,0.8703,0.8667,0.8605
166,0.9167,0.9167,0.9167,0.9136
167,0.8056,0.8354,0.8056,0.7942
168,0.8056,0.8468,0.8056,0.7884
169,0.8500,0.8705,0.8500,0.8391
170,0.9389,0.9384,0.9389,0.9368
171,0.8833,0.8933,0.8833,0.8778
172,0.8167,0.8559,0.8167,0.8049
173,0.8944,0.9016,0.8944,0.8885
174,0.9278,0.9261,0.9278,0.9265
175,0.9111,0.9199,0.9111,0.9013
176,0.9278,0.9285,0.9278,0.9242
177,0.8722,0.8776,0.8722,0.8698
178,0.9111,0.9122,0.9111,0.9062
179,0.8889,0.8927,0.8889,0.8800
180,0.8056,0.8349,0.8056,0.7946
181,0.8444,0.8699,0.8444,0.8378
182,0.9278,0.9285,0.9278,0.9242
183,0.9222,0.9291,0.9222,0.9226
184,0.9056,0.9146,0.9056,0.9075
185,0.8611,0.8796,0.8611,0.8593
186,0.7667,0.8026,0.7667,0.7497
187,0.7944,0.8315,0.7944,0.7810
188,0.9278,0.9303,0.9278,0.9271
189,0.9222,0.9239,0.9222,0.9216
190,0.8556,0.8683,0.8556,0.8507
191,0.8722,0.8865,0.8722,0.8696
192,0.9389,0.9378,0.9389,0.9375
193,0.8778,0.8806,0.8778,0.8675
194,0.8389,0.8524,0.8389,0.8185
195,0.9500,0.9512,0.9500,0.9494
196,0.9444,0.9502,0.9444,0.9420
197,0.9222,0.9324,0.9222,0.9189
198,0.9056,0.9181,0.9056,0.8986
199,0.9333,0.9366,0.9333,0.9316
200,0.8333,0.8558,0.8333,0.8276
201,0.8889,0.9035,0.8889,0.8871
202,0.9111,0.9170,0.9111,0.9070
203,0.7944,0.8408,0.7944,0.7831
204,0.8444,0.8671,0.8444,0.8385
205,0.9611,0.9616,0.9611,0.9610
206,0.9778,0.9782,0.9778,0.9778
207,0.9556,0.9573,0.9556,0.9548
208,0.9333,0.9366,0.9333,0.9301
209,0.8778,0.8869,0.8778,0.8753
210,0.9278,0.9302,0.9278,0.9275
211,0.9278,0.9279,0.9278,0.9254
212,0.9278,0.9334,0.9278,0.9280
213,0.9056,0.9167,0.9056,0.9064
214,0.9722,0.9722,0.9722,0.9722
215,0.9611,0.9644,0.9611,0.9603
216,0.9611,0.9617,0.9611,0.9612
217,0.9722,0.9741,0.9722,0.9726
218,0.9611,0.9617,0.9611,0.9612
219,0.9167,0.9247,0.9167,0.9084
220,0.9333,0.9397,0.9333,0.9290
221,0.9167,0.9305,0.9167,0.9116
222,0.9556,0.9578,0.9556,0.9539
223,0.9389,0.9398,0.9389,0.9383
224,0.9222,0.9249,0.9222,0.9199
225,0.9778,0.9778,0.9778,0.9777
226,0.9333,0.9330,0.9333,0.9324
227,0.8611,0.8743,0.8611,0.8568
228,0.9778,0.9778,0.9778,0.9777
229,0.9278,0.9353,0.9278,0.9237
230,0.9333,0.9405,0.9333,0.9303
231,0.9556,0.9603,0.9556,0.9564
232,0.9556,0.9600,0.9556,0.9557
233,0.8833,0.9066,0.8833,0.8806
234,0.9667,0.9672,0.9667,0.9668
235,0.9556,0.9576,0.9556,0.9557
236,0.9778,0.9790,0.9778,0.9779
237,0.9556,0.9582,0.9556,0.9540
238,0.9278,0.9300,0.9278,0.9258
239,0.8944,0.9053,0.8944,0.8912
240,0.9444,0.9479,0.9444,0.9415
241,0.9611,0.9630,0.9611,0.9600
242,0.9389,0.9460,0.9389,0.9359
243,0.9611,0.9606,0.9611,0.9604
244,0.9778,0.9783,0.9778,0.9775
245,0.9889,0.9892,0.9889,0.9889
246,0.9722,0.9744,0.9722,0.9726
247,0.9611,0.9616,0.9611,0.9612
248,0.9722,0.9724,0.9722,0.9721
249,0.9667,0.9683,0.9667,0.9660
250,0.9667,0.9689,0.9667,0.9665
251,0.9667,0.9690,0.9667,0.9661
252,0.9611,0.9644,0.9611,0.9603
253,0.9667,0.9664,0.9667,0.9665
254,0.9667,0.9664,0.9667,0.9665
255,0.9778,0.9781,0.9778,0.9779
256,0.9556,0.9588,0.9556,0.9548
257,0.9333,0.9407,0.9333,0.9292
258,0.9222,0.9342,0.9222,0.9181
259,0.9167,0.9288,0.9167,0.9112
260,0.9556,0.9582,0.9556,0.9540
261,0.9667,0.9679,0.9667,0.9659
262,0.9667,0.9683,0.9667,0.9660
263,0.9611,0.9630,0.9611,0.9600
264,0.9833,0.9837,0.9833,0.9833
265,0.9778,0.9791,0.9778,0.9780
266,0.9500,0.9581,0.9500,0.9513
267,0.9389,0.9507,0.9389,0.9398
268,0.9833,0.9839,0.9833,0.9834
269,0.9889,0.9893,0.9889,0.9889
270,0.9722,0.9734,0.9722,0.9722
271,0.9611,0.9635,0.9611,0.9601
272,0.9667,0.9665,0.9667,0.9665
273,0.9611,0.9616,0.9611,0.9604
274,0.9611,0.9635,0.9611,0.9601
275,0.9667,0.9664,0.9667,0.9665
276,0.9722,0.9722,0.9722,0.9720
277,0.9722,0.9729,0.9722,0.9720
278,0.9444,0.9462,0.9444,0.9444
279,0.9778,0.9783,0.9778,0.9775
280,0.9722,0.9732,0.9722,0.9718
281,0.9778,0.9777,0.9778,0.9777
282,0.9778,0.9777,0.9778,0.9777
283,0.9778,0.9793,0.9778,0.9778
284,0.9556,0.9581,0.9556,0.9556
285,0.9833,0.9835,0.9833,0.9834
286,0.9889,0.9891,0.9889,0.9889
287,0.9722,0.9732,0.9722,0.9718
288,0.9500,0.9544,0.9500,0.9489
289,0.9722,0.9745,0.9722,0.9721
290,0.9667,0.9683,0.9667,0.9660
291,0.9722,0.9732,0.9722,0.9718
292,0.9722,0.9732,0.9722,0.9718
293,0.9722,0.9732,0.9722,0.9718
294,0.9667,0.9683,0.9667,0.9660
295,0.9611,0.9635,0.9611,0.9601
296,0.9833,0.9837,0.9833,0.9833
297,0.9833,0.9833,0.9833,0.9833
298,0.9778,0.9783,0.9778,0.9775
299,0.9778,0.9783,0.9778,0.9775
