# epoch,accuracy,precision,recall,f1_score
0,0.4917,0.2418,0.4917,0.3242
1,0.3260,0.1063,0.3260,0.1603
2,0.3260,0.1063,0.3260,0.1603
3,0.3260,0.1063,0.3260,0.1603
4,0.3260,0.1063,0.3260,0.1603
5,0.3260,0.1063,0.3260,0.1603
6,0.3260,0.1063,0.3260,0.1603
7,0.3260,0.1063,0.3260,0.1603
8,0.3260,0.1063,0.3260,0.1603
9,0.3260,0.1063,0.3260,0.1603
10,0.3260,0.1063,0.3260,0.1603
11,0.3260,0.1063,0.3260,0.1603
12,0.3260,0.1063,0.3260,0.1603
13,0.3260,0.1063,0.3260,0.1603
14,0.3260,0.1063,0.3260,0.1603
15,0.3260,0.1063,0.3260,0.1603
16,0.3260,0.1063,0.3260,0.1603
17,0.3260,0.1063,0.3260,0.1603
18,0.3260,0.1063,0.3260,0.1603
19,0.3260,0.1063,0.3260,0.1603
20,0.3260,0.1063,0.3260,0.1603
21,0.3260,0.1063,0.3260,0.1603
22,0.3260,0.1063,0.3260,0.1603
23,0.3260,0.1063,0.3260,0.1603
24,0.3260,0.1063,0.3260,0.1603
25,0.3260,0.1063,0.3260,0.1603
26,0.3260,0.1063,0.3260,0.1603
27,0.3315,0.3533,0.3315,0.1724
28,0.4254,0.3450,0.4254,0.3804
29,0.4917,0.2418,0.4917,0.3242
30,0.4917,0.2418,0.4917,0.3242
31,0.4917,0.2418,0.4917,0.3242
32,0.4917,0.2418,0.4917,0.3242
33,0.4917,0.2418,0.4917,0.3242
34,0.4917,0.2418,0.4917,0.3242
35,0.4917,0.2418,0.4917,0.3242
36,0.4917,0.2418,0.4917,0.3242
37,0.4917,0.2418,0.4917,0.3242
38,0.4917,0.2418,0.4917,0.3242
39,0.4917,0.2418,0.4917,0.3242
40,0.4917,0.2418,0.4917,0.3242
41,0.4917,0.2418,0.4917,0.3242
42,0.4917,0.2418,0.4917,0.3242
43,0.4917,0.2418,0.4917,0.3242
44,0.4917,0.2418,0.4917,0.3242
45,0.4917,0.2418,0.4917,0.3242
46,0.4917,0.2418,0.4917,0.3242
47,0.4917,0.2418,0.4917,0.3242
48,0.4917,0.2418,0.4917,0.3242
49,0.5028,0.5704,0.5028,0.3480
50,0.4917,0.2418,0.4917,0.3242
51,0.4917,0.2418,0.4917,0.3242
52,0.4917,0.2418,0.4917,0.3242
53,0.4917,0.2418,0.4917,0.3242
54,0.4917,0.2418,0.4917,0.3242
55,0.4917,0.2418,0.4917,0.3242
56,0.4917,0.2418,0.4917,0.3242
57,0.4917,0.2418,0.4917,0.3242
58,0.4917,0.2418,0.4917,0.3242
59,0.4917,0.2418,0.4917,0.3242
60,0.4917,0.2418,0.4917,0.3242
61,0.4917,0.2418,0.4917,0.3242
62,0.4917,0.2418,0.4917,0.3242
63,0.4917,0.2418,0.4917,0.3242
64,0.4917,0.2418,0.4917,0.3242
65,0.4917,0.2418,0.4917,0.3242
66,0.4917,0.2418,0.4917,0.3242
67,0.4917,0.2418,0.4917,0.3242
68,0.4917,0.2418,0.4917,0.3242
69,0.4917,0.2418,0.4917,0.3242
70,0.4917,0.2418,0.4917,0.3242
71,0.4917,0.2418,0.4917,0.3242
72,0.4917,0.2418,0.4917,0.3242
73,0.4917,0.2418,0.4917,0.3242
74,0.4917,0.2418,0.4917,0.3242
75,0.4972,0.5691,0.4972,0.3362
76,0.4917,0.2418,0.4917,0.3242
77,0.4917,0.2418,0.4917,0.3242
78,0.4917,0.2418,0.4917,0.3242
79,0.4917,0.2418,0.4917,0.3242
80,0.4917,0.2418,0.4917,0.3242
81,0.4917,0.2418,0.4917,0.3242
82,0.4917,0.2418,0.4917,0.3242
83,0.5083,0.4646,0.5083,0.3679
84,0.4972,0.4604,0.4972,0.3452
85,0.5028,0.5704,0.5028,0.3480
86,0.5028,0.5704,0.5028,0.3480
87,0.4917,0.2418,0.4917,0.3242
88,0.4917,0.2418,0.4917,0.3242
89,0.5138,0.5732,0.5138,0.3704
90,0.5746,0.5706,0.5746,0.4793
91,0.5801,0.5588,0.5801,0.4869
92,0.6022,0.5345,0.6022,0.5153
93,0.6740,0.5753,0.6740,0.6006
94,0.6354,0.5799,0.6354,0.5584
95,0.5028,0.5704,0.5028,0.3480
96,0.5304,0.5413,0.5304,0.4083
97,0.5470,0.5548,0.5470,0.4364
98,0.5912,0.5431,0.5912,0.5014
99,0.6630,0.5944,0.6630,0.5902
100,0.5912,0.5784,0.5912,0.5030
101,0.5635,0.5649,0.5635,0.4627
102,0.5746,0.5706,0.5746,0.4793
103,0.5359,0.5789,0.5359,0.4119
104,0.5304,0.5775,0.5304,0.4019
105,0.5414,0.5804,0.5414,0.4216
106,0.5580,0.5849,0.5580,0.4494
107,0.6188,0.5903,0.6188,0.5395
108,0.5359,0.5464,0.5359,0.4179
109,0.5635,0.5649,0.5635,0.4627
110,0.5691,0.5678,0.5691,0.4711
111,0.6519,0.5701,0.6519,0.5757
112,0.6243,0.5828,0.6243,0.5457
113,0.6519,0.7777,0.6519,0.5844
114,0.6685,0.5972,0.6685,0.5963
115,0.6906,0.6032,0.6906,0.6191
