               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss, train/cls_task_loss,train/constraint_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,   val/cls_task_loss, val/constraint_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11217,            0.014289,            0.052457,              1.1231,                   0,                   0,                   0,                   0,                   0,             0.11403,            0.011661,            0.055054,               1.126,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.11248,            0.014268,            0.052912,              1.1217,                   0,                   0,                   0,                   0,                   0,             0.11398,            0.011657,            0.055188,               1.125,                   0,            0.086496,           0.0014955,           0.0014955
                   2,             0.11271,            0.014234,            0.053348,              1.1215,                   0,          8.9902e-05,                0.05,          5.5467e-05,          1.1513e-05,             0.11332,            0.011711,            0.054785,              1.1289,                   0,            0.079286,           0.0022862,           0.0022862
                   3,             0.11194,            0.014323,            0.052745,              1.1196,                   0,          8.9902e-05,                0.05,          5.7286e-05,          1.1308e-05,             0.11325,            0.011691,            0.054846,               1.126,                   0,            0.072072,           0.0030721,           0.0030721
                   4,             0.11163,            0.014332,            0.052356,              1.1204,                   0,          0.00021001,             0.13333,          0.00014058,          2.1671e-05,             0.11271,            0.011823,            0.054065,               1.127,                   0,            0.064853,           0.0038532,           0.0038532
                   5,             0.11101,            0.014391,            0.052412,              1.1197,                   0,          8.9902e-05,                0.05,          5.5515e-05,          1.0728e-05,              0.1121,            0.011845,            0.054297,               1.125,                   0,             0.05763,           0.0046295,           0.0046295
                   6,             0.11043,            0.014523,            0.052131,              1.1199,                   0,          8.9902e-05,                0.05,          5.5294e-05,          1.0572e-05,             0.11227,            0.011844,            0.053711,              1.1299,                   0,            0.050401,            0.005401,            0.005401
                   7,             0.10997,            0.014566,            0.051411,              1.1178,                   0,          8.9902e-05,                0.05,          5.4584e-05,          1.0676e-05,             0.11038,            0.012011,            0.052991,              1.1309,                   0,            0.043168,           0.0061677,           0.0061677
                   8,             0.10893,            0.014599,            0.050992,              1.1214,                   0,          0.00022361,             0.15871,          0.00017049,          2.9881e-05,             0.10943,            0.012101,            0.052368,              1.1338,                   0,             0.03593,           0.0069296,           0.0069296
                   9,             0.10822,            0.014679,            0.050686,              1.1196,                   0,          0.00024395,             0.18409,           0.0001865,          3.7587e-05,             0.10861,            0.012201,            0.052148,              1.1279,                   0,            0.028687,           0.0076867,           0.0076867
                  10,             0.10695,            0.014863,            0.050315,              1.1166,                   0,          0.00022385,              0.1678,          0.00015831,          3.3152e-05,             0.10704,            0.012367,            0.051807,               1.126,                   0,            0.021439,            0.008439,            0.008439
                  11,             0.10537,            0.014994,            0.049948,              1.1177,                   0,          0.00024962,             0.18144,          0.00018173,          3.8373e-05,             0.10651,            0.012313,            0.050793,               1.126,                   0,            0.014186,           0.0091865,           0.0091865
                  12,             0.10483,            0.015022,            0.049678,              1.1164,                   0,          0.00032712,             0.24129,          0.00025756,          5.0973e-05,             0.10448,            0.012557,            0.050171,              1.1289,                   0,             0.00964,             0.00964,             0.00964
                  13,             0.10334,            0.015177,            0.048793,              1.1099,                   0,          0.00025063,              0.1625,          0.00018605,          2.9138e-05,               0.104,            0.012613,            0.049951,              1.1201,                   0,             0.00964,             0.00964,             0.00964
                  14,             0.10287,             0.01523,            0.048367,              1.1093,                   0,          0.00027019,             0.17614,          0.00022141,          3.6505e-05,             0.10196,            0.012847,            0.048792,              1.1162,                   0,             0.00961,             0.00961,             0.00961
                  15,             0.10152,            0.015289,             0.04803,              1.1085,                   0,          0.00025029,              0.1553,          0.00019885,          3.2491e-05,             0.10031,            0.012944,            0.048438,              1.1143,                   0,             0.00958,             0.00958,             0.00958
                  16,             0.10017,            0.015427,            0.047569,              1.1068,                   0,          0.00028461,             0.18068,          0.00022517,          3.8414e-05,            0.099371,            0.013029,            0.048352,              1.1172,                   0,             0.00955,             0.00955,             0.00955
                  17,            0.099627,             0.01551,            0.047355,              1.1052,                   0,          0.00035939,             0.24773,          0.00029911,          5.5627e-05,            0.098108,             0.01311,            0.047571,              1.1152,                   0,             0.00952,             0.00952,             0.00952
                  18,            0.098372,            0.015561,            0.047398,              1.1024,                   0,           0.0003685,             0.22689,          0.00030747,          7.0172e-05,            0.097299,            0.013147,            0.047314,              1.1113,                   0,             0.00949,             0.00949,             0.00949
                  19,             0.09771,            0.015653,            0.046888,              1.1035,                   0,          0.00035834,             0.20606,          0.00028769,          7.2807e-05,            0.096279,            0.013295,            0.046948,              1.0996,                   0,             0.00946,             0.00946,             0.00946
                  20,            0.097197,            0.015697,            0.046843,              1.1014,                   0,          0.00029123,             0.15114,          0.00022592,          4.9416e-05,            0.095062,            0.013451,            0.046912,              1.0986,                   0,             0.00943,             0.00943,             0.00943
                  21,            0.095707,            0.015914,            0.046528,              1.0976,                   0,          0.00026198,              0.1303,          0.00021713,          4.5575e-05,            0.093306,            0.013687,            0.046716,              1.0928,                   0,              0.0094,              0.0094,              0.0094
                  22,            0.094895,            0.015959,            0.046241,              1.0958,                   0,          0.00035361,              0.1875,          0.00031239,          6.3051e-05,            0.092417,            0.013743,            0.046216,              1.0977,                   0,             0.00937,             0.00937,             0.00937
                  23,            0.093507,            0.016081,            0.045838,              1.0986,                   0,          0.00079794,             0.20066,           0.0020618,          0.00054516,            0.091131,            0.013886,            0.045642,              1.0967,                   0,             0.00934,             0.00934,             0.00934
                  24,            0.091767,            0.016287,            0.045286,              1.0938,                   0,          0.00087572,             0.22528,           0.0018723,          0.00040196,            0.088902,            0.014135,            0.045239,              1.0938,                   0,             0.00931,             0.00931,             0.00931
                  25,            0.090251,             0.01638,            0.044968,              1.0906,                   0,          0.00042102,             0.19962,           0.0011958,          0.00034253,            0.086134,             0.01443,             0.04469,              1.0879,                   0,             0.00928,             0.00928,             0.00928
                  26,             0.08836,            0.016621,            0.044694,              1.0888,                   0,           0.0011933,             0.22074,           0.0018756,          0.00042897,            0.083841,            0.014678,            0.044165,               1.083,                   0,             0.00925,             0.00925,             0.00925
                  27,            0.086915,            0.016663,            0.044304,               1.084,                   0,           0.0023305,             0.20739,           0.0049636,           0.0015466,            0.081683,            0.014902,            0.043738,               1.083,                   0,             0.00922,             0.00922,             0.00922
