# epoch,accuracy,precision,recall,f1_score
0,0.1833,0.0336,0.1833,0.0568
1,0.1833,0.0336,0.1833,0.0568
2,0.3056,0.0934,0.3056,0.1430
3,0.3056,0.0934,0.3056,0.1430
4,0.3056,0.0934,0.3056,0.1430
5,0.3056,0.0934,0.3056,0.1430
6,0.3056,0.0934,0.3056,0.1430
7,0.3056,0.0934,0.3056,0.1430
8,0.3056,0.0934,0.3056,0.1430
9,0.3056,0.0934,0.3056,0.1430
10,0.3056,0.0934,0.3056,0.1430
11,0.3056,0.0934,0.3056,0.1430
12,0.3056,0.0934,0.3056,0.1430
13,0.3056,0.0934,0.3056,0.1430
14,0.3056,0.0934,0.3056,0.1430
15,0.3056,0.0934,0.3056,0.1430
16,0.3111,0.3127,0.3111,0.1730
17,0.2944,0.1857,0.2944,0.1596
18,0.3111,0.3500,0.3111,0.1551
19,0.3111,0.3500,0.3111,0.1551
20,0.5611,0.4465,0.5611,0.4883
21,0.5444,0.4344,0.5444,0.4802
22,0.3111,0.3992,0.3111,0.1724
23,0.3778,0.5503,0.3778,0.2892
24,0.4778,0.5587,0.4778,0.4342
25,0.5444,0.5832,0.5444,0.5063
26,0.6056,0.5542,0.6056,0.5600
27,0.3556,0.5295,0.3556,0.2530
28,0.3056,0.0934,0.3056,0.1430
29,0.3056,0.0934,0.3056,0.1430
30,0.3056,0.0934,0.3056,0.1430
31,0.3056,0.0934,0.3056,0.1430
32,0.3056,0.0934,0.3056,0.1430
33,0.3056,0.0934,0.3056,0.1430
34,0.3056,0.0934,0.3056,0.1430
35,0.3056,0.0934,0.3056,0.1430
36,0.3056,0.0934,0.3056,0.1430
37,0.3056,0.0934,0.3056,0.1430
38,0.3056,0.0934,0.3056,0.1430
39,0.3056,0.0934,0.3056,0.1430
40,0.3056,0.1844,0.3056,0.1521
41,0.3056,0.1396,0.3056,0.1528
42,0.3222,0.1780,0.3222,0.1809
43,0.3111,0.1478,0.3111,0.1631
44,0.3333,0.1976,0.3333,0.1973
45,0.3278,0.1504,0.3278,0.2019
46,0.3444,0.1737,0.3444,0.2142
47,0.3333,0.1619,0.3333,0.2092
48,0.3389,0.1633,0.3389,0.2198
49,0.3444,0.2428,0.3444,0.2653
50,0.3333,0.8235,0.3333,0.2875
51,0.2722,0.3248,0.2722,0.2025
52,0.2833,0.3137,0.2833,0.2182
53,0.2611,0.3420,0.2611,0.1848
54,0.2333,0.3409,0.2333,0.1453
55,0.2000,0.3397,0.2000,0.0892
56,0.2167,0.3403,0.2167,0.1186
57,0.3222,0.2774,0.3222,0.2558
58,0.3444,0.2229,0.3444,0.2494
59,0.3611,0.1826,0.3611,0.2418
60,0.3667,0.2563,0.3667,0.2793
61,0.3778,0.2986,0.3778,0.3015
62,0.3833,0.2770,0.3833,0.2992
63,0.4333,0.8382,0.4333,0.4507
64,0.3722,0.8180,0.3722,0.3156
65,0.3500,0.3041,0.3500,0.2822
66,0.3611,0.3066,0.3611,0.2887
67,0.3667,0.3077,0.3667,0.2953
68,0.3444,0.3173,0.3444,0.2791
69,0.3500,0.3356,0.3500,0.2826
70,0.3722,0.8318,0.3722,0.3153
71,0.5222,0.8581,0.5222,0.5476
72,0.3667,0.8479,0.3667,0.3099
73,0.3667,0.3467,0.3667,0.2964
74,0.3778,0.3228,0.3778,0.3059
75,0.3500,0.8458,0.3500,0.3008
76,0.4111,0.8502,0.4111,0.3915
77,0.3500,0.8461,0.3500,0.2951
78,0.6778,0.8727,0.6778,0.7129
79,0.4333,0.8486,0.4333,0.4513
80,0.4056,0.8474,0.4056,0.4087
81,0.3222,0.6856,0.3222,0.2664
82,0.4278,0.8612,0.4278,0.4184
83,0.4944,0.8655,0.4944,0.5200
84,0.5944,0.8737,0.5944,0.6333
85,0.5778,0.8625,0.5778,0.6132
86,0.5778,0.8722,0.5778,0.6087
87,0.5389,0.8688,0.5389,0.5765
88,0.3667,0.8469,0.3667,0.3271
89,0.3556,0.3362,0.3556,0.2874
90,0.3389,0.3345,0.3389,0.2726
91,0.4778,0.8643,0.4778,0.4686
92,0.4000,0.8508,0.4000,0.3436
93,0.5556,0.8702,0.5556,0.5925
94,0.3500,0.3356,0.3500,0.2826
95,0.2833,0.3429,0.2833,0.2127
96,0.3056,0.8550,0.3056,0.2691
97,0.3056,0.8550,0.3056,0.2760
98,0.7278,0.8904,0.7278,0.7372
99,0.5500,0.8697,0.5500,0.5754
100,0.3778,0.8584,0.3778,0.3364
101,0.7111,0.8878,0.7111,0.7436
102,0.6500,0.8797,0.6500,0.6872
103,0.5167,0.8671,0.5167,0.5502
104,0.3333,0.8562,0.3333,0.2722
105,0.3722,0.3470,0.3722,0.3011
106,0.4778,0.8643,0.4778,0.4546
107,0.6167,0.8679,0.6167,0.6472
108,0.3444,0.8567,0.3444,0.2829
109,0.4111,0.8602,0.4111,0.4154
110,0.3722,0.8581,0.3722,0.3259
111,0.3722,0.8581,0.3722,0.3630
112,0.3056,0.8550,0.3056,0.2481
113,0.3722,0.8581,0.3722,0.3259
114,0.4278,0.8612,0.4278,0.3896
115,0.2944,0.8545,0.2944,0.2518
116,0.3944,0.3252,0.3944,0.3182
117,0.4222,0.3288,0.4222,0.3374
118,0.3500,0.8570,0.3500,0.3049
119,0.5833,0.8727,0.5833,0.5959
120,0.4778,0.8643,0.4778,0.4546
121,0.5722,0.8717,0.5722,0.5667
122,0.5722,0.8717,0.5722,0.6040
123,0.4111,0.8520,0.4111,0.3454
124,0.5778,0.8646,0.5778,0.5942
125,0.6222,0.8766,0.6222,0.6610
126,0.2833,0.3429,0.2833,0.2127
127,0.2944,0.3434,0.2944,0.2257
128,0.4333,0.8537,0.4333,0.3752
129,0.3556,0.8573,0.3556,0.2932
130,0.5556,0.8702,0.5556,0.5879
131,0.7167,0.8823,0.7167,0.7451
132,0.6778,0.8832,0.6778,0.7050
133,0.6833,0.8839,0.6833,0.7074
134,0.6722,0.8824,0.6722,0.6991
135,0.5722,0.8595,0.5722,0.5636
136,0.4556,0.8628,0.4556,0.4275
137,0.3278,0.3448,0.3278,0.2609
138,0.5222,0.8675,0.5222,0.5494
139,0.4222,0.8608,0.4222,0.4294
140,0.7000,0.8862,0.7000,0.7289
141,0.6611,0.8810,0.6611,0.6854
142,0.6667,0.8817,0.6667,0.6747
143,0.4389,0.3151,0.4389,0.3441
144,0.6944,0.8786,0.6944,0.7164
145,0.8167,0.9035,0.8167,0.8325
146,0.8111,0.9018,0.8111,0.8286
147,0.7167,0.8573,0.7167,0.7324
148,0.7278,0.8904,0.7278,0.7539
149,0.8611,0.9210,0.8611,0.8696
150,0.6500,0.8797,0.6500,0.6831
151,0.8056,0.9056,0.8056,0.8240
152,0.6611,0.8810,0.6611,0.6955
153,0.7778,0.8995,0.7778,0.8017
154,0.6556,0.8731,0.6556,0.6805
155,0.7778,0.8932,0.7778,0.7974
156,0.6444,0.8790,0.6444,0.6646
157,0.7722,0.8915,0.7722,0.7956
158,0.8167,0.9083,0.8167,0.8356
159,0.7556,0.8952,0.7556,0.7828
160,0.6944,0.8854,0.6944,0.7285
161,0.3667,0.8578,0.3667,0.3310
162,0.8278,0.9016,0.8278,0.8399
163,0.7389,0.8923,0.7389,0.7482
164,0.8111,0.9070,0.8111,0.8302
165,0.8333,0.9027,0.8333,0.8462
166,0.5667,0.8712,0.5667,0.5936
167,0.7556,0.8952,0.7556,0.7828
168,0.7722,0.8984,0.7722,0.7909
169,0.7889,0.9019,0.7889,0.8118
170,0.7333,0.8914,0.7333,0.7609
171,0.6500,0.8797,0.6500,0.6661
172,0.8111,0.8876,0.8111,0.8207
173,0.6111,0.8517,0.6111,0.6136
174,0.6278,0.8720,0.6278,0.6244
175,0.8611,0.9124,0.8611,0.8687
176,0.7500,0.8942,0.7500,0.7759
177,0.7833,0.8902,0.7833,0.7989
178,0.8111,0.8970,0.8111,0.8240
179,0.9111,0.9295,0.9111,0.9149
180,0.8556,0.9073,0.8556,0.8624
181,0.6556,0.8678,0.6556,0.6649
182,0.8333,0.9127,0.8333,0.8499
183,0.6000,0.8743,0.6000,0.5971
184,0.8556,0.9192,0.8556,0.8672
185,0.8389,0.9142,0.8389,0.8545
186,0.4722,0.8459,0.4722,0.3911
187,0.7278,0.8796,0.7278,0.7419
188,0.7833,0.8801,0.7833,0.7889
189,0.7056,0.8721,0.7056,0.7118
190,0.8889,0.9271,0.8889,0.8961
191,0.9167,0.9357,0.9167,0.9206
192,0.8333,0.8949,0.8333,0.8425
193,0.6500,0.8745,0.6500,0.6557
194,0.7833,0.8906,0.7833,0.7963
195,0.7722,0.8938,0.7722,0.7865
196,0.9389,0.9471,0.9389,0.9411
197,0.9389,0.9504,0.9389,0.9415
198,0.8667,0.9179,0.8667,0.8771
199,0.6611,0.8810,0.6611,0.6955
200,0.9389,0.9506,0.9389,0.9414
201,0.9556,0.9598,0.9556,0.9564
202,0.9333,0.9446,0.9333,0.9354
203,0.9056,0.9323,0.9056,0.9106
204,0.8722,0.9147,0.8722,0.8802
205,0.8444,0.8950,0.8444,0.8509
206,0.8278,0.8825,0.8278,0.8341
207,0.5722,0.8651,0.5722,0.5570
208,0.7556,0.8952,0.7556,0.7680
209,0.8389,0.9142,0.8389,0.8528
210,0.9389,0.9445,0.9389,0.9404
211,0.9722,0.9724,0.9722,0.9723
212,0.8889,0.9193,0.8889,0.8935
213,0.9222,0.9359,0.9222,0.9248
214,0.8778,0.9098,0.8778,0.8821
215,0.9111,0.9356,0.9111,0.9166
216,0.9333,0.9473,0.9333,0.9365
217,0.8444,0.9092,0.8444,0.8587
218,0.7778,0.8914,0.7778,0.8011
219,0.9389,0.9471,0.9389,0.9410
220,0.9389,0.9473,0.9389,0.9402
221,0.8889,0.9165,0.8889,0.8932
222,0.8833,0.9179,0.8833,0.8883
223,0.8833,0.9179,0.8833,0.8883
224,0.9278,0.9482,0.9278,0.9320
225,0.8889,0.9255,0.8889,0.8971
226,0.9333,0.9473,0.9333,0.9364
227,0.9611,0.9618,0.9611,0.9611
228,0.9667,0.9676,0.9667,0.9663
229,0.9611,0.9641,0.9611,0.9618
230,0.9389,0.9480,0.9389,0.9409
231,0.9111,0.9212,0.9111,0.9127
232,0.9556,0.9568,0.9556,0.9556
233,0.9667,0.9688,0.9667,0.9669
234,0.9556,0.9585,0.9556,0.9562
235,0.9000,0.9280,0.9000,0.9046
236,0.9444,0.9491,0.9444,0.9449
237,0.9500,0.9585,0.9500,0.9516
238,0.9611,0.9660,0.9611,0.9620
239,0.9333,0.9511,0.9333,0.9369
240,0.9278,0.9482,0.9278,0.9316
241,0.9111,0.9331,0.9111,0.9152
242,0.8889,0.9165,0.8889,0.8932
243,0.9444,0.9504,0.9444,0.9454
244,0.9222,0.9359,0.9222,0.9244
245,0.9500,0.9545,0.9500,0.9507
246,0.9333,0.9446,0.9333,0.9358
247,0.9722,0.9724,0.9722,0.9723
248,0.9556,0.9587,0.9556,0.9561
249,0.9500,0.9564,0.9500,0.9509
250,0.9556,0.9568,0.9556,0.9557
251,0.9556,0.9613,0.9556,0.9569
252,0.9444,0.9552,0.9444,0.9462
253,0.9389,0.9456,0.9389,0.9400
254,0.9611,0.9638,0.9611,0.9618
255,0.9667,0.9683,0.9667,0.9670
256,0.9667,0.9683,0.9667,0.9671
257,0.9722,0.9724,0.9722,0.9723
258,0.9500,0.9519,0.9500,0.9505
259,0.9722,0.9727,0.9722,0.9721
260,0.9667,0.9677,0.9667,0.9666
261,0.9500,0.9519,0.9500,0.9505
262,0.9667,0.9668,0.9667,0.9666
263,0.9722,0.9724,0.9722,0.9723
264,0.9500,0.9535,0.9500,0.9508
265,0.9611,0.9618,0.9611,0.9611
266,0.9333,0.9376,0.9333,0.9341
267,0.8833,0.9226,0.8833,0.8903
268,0.9500,0.9585,0.9500,0.9516
269,0.9444,0.9522,0.9444,0.9461
270,0.9833,0.9840,0.9833,0.9834
271,0.9667,0.9689,0.9667,0.9670
272,0.9444,0.9475,0.9444,0.9452
273,0.9778,0.9786,0.9778,0.9776
274,0.9778,0.9779,0.9778,0.9777
275,0.9667,0.9687,0.9667,0.9671
276,0.9611,0.9643,0.9611,0.9618
277,0.9722,0.9746,0.9722,0.9726
278,0.9833,0.9834,0.9833,0.9833
279,0.9833,0.9834,0.9833,0.9833
280,0.9500,0.9534,0.9500,0.9509
281,0.9778,0.9786,0.9778,0.9776
282,0.9778,0.9786,0.9778,0.9776
283,0.9778,0.9778,0.9778,0.9777
284,0.9611,0.9623,0.9611,0.9615
285,0.9556,0.9595,0.9556,0.9565
286,0.9389,0.9479,0.9389,0.9407
287,0.9722,0.9730,0.9722,0.9724
288,0.9778,0.9780,0.9778,0.9779
289,0.9722,0.9746,0.9722,0.9726
290,0.9778,0.9792,0.9778,0.9780
291,0.9722,0.9725,0.9722,0.9722
292,0.9667,0.9676,0.9667,0.9663
293,0.9722,0.9727,0.9722,0.9721
294,0.9778,0.9779,0.9778,0.9777
295,0.9833,0.9834,0.9833,0.9833
296,0.9833,0.9833,0.9833,0.9833
297,0.9778,0.9778,0.9778,0.9777
298,0.9778,0.9780,0.9778,0.9779
299,0.9722,0.9724,0.9722,0.9721
