# epoch,accuracy,precision,recall,f1_score
0,0.3260,0.1063,0.3260,0.1603
1,0.3260,0.1063,0.3260,0.1603
2,0.3260,0.1063,0.3260,0.1603
3,0.3260,0.1063,0.3260,0.1603
4,0.3260,0.1063,0.3260,0.1603
5,0.3260,0.1063,0.3260,0.1603
6,0.3260,0.1063,0.3260,0.1603
7,0.3260,0.1063,0.3260,0.1603
8,0.3260,0.1063,0.3260,0.1603
9,0.3260,0.1063,0.3260,0.1603
10,0.3260,0.1063,0.3260,0.1603
11,0.3260,0.1063,0.3260,0.1603
12,0.3260,0.1063,0.3260,0.1603
13,0.3260,0.1063,0.3260,0.1603
14,0.3260,0.1063,0.3260,0.1603
15,0.3260,0.1063,0.3260,0.1603
16,0.3260,0.1063,0.3260,0.1603
17,0.3260,0.1063,0.3260,0.1603
18,0.3260,0.1063,0.3260,0.1603
19,0.3260,0.1063,0.3260,0.1603
20,0.3260,0.1063,0.3260,0.1603
21,0.3425,0.5998,0.3425,0.1944
22,0.3646,0.6022,0.3646,0.2368
23,0.4088,0.6076,0.4088,0.3128
24,0.4309,0.6104,0.4309,0.3471
25,0.4309,0.6104,0.4309,0.3471
26,0.4475,0.6127,0.4475,0.3714
27,0.4365,0.6112,0.4365,0.3553
28,0.3481,0.6004,0.3481,0.2053
29,0.3260,0.1063,0.3260,0.1603
30,0.3260,0.1063,0.3260,0.1603
31,0.3260,0.1063,0.3260,0.1603
32,0.3260,0.1063,0.3260,0.1603
33,0.3260,0.1063,0.3260,0.1603
34,0.3260,0.1063,0.3260,0.1603
35,0.3260,0.1063,0.3260,0.1603
36,0.3260,0.1063,0.3260,0.1603
37,0.3260,0.1063,0.3260,0.1603
38,0.3260,0.1063,0.3260,0.1603
39,0.3260,0.1063,0.3260,0.1603
40,0.3260,0.1063,0.3260,0.1603
41,0.3260,0.1063,0.3260,0.1603
42,0.3260,0.1080,0.3260,0.1623
43,0.3260,0.1074,0.3260,0.1616
44,0.3260,0.1074,0.3260,0.1616
45,0.3260,0.1080,0.3260,0.1623
46,0.3204,0.1087,0.3204,0.1623
47,0.3204,0.1093,0.3204,0.1630
48,0.3425,0.1551,0.3425,0.1991
49,0.3646,0.1764,0.3646,0.2356
50,0.3481,0.1605,0.3481,0.2112
51,0.3646,0.1728,0.3646,0.2318
52,0.3757,0.1893,0.3757,0.2517
53,0.3702,0.1805,0.3702,0.2419
54,0.3923,0.2167,0.3923,0.2777
55,0.4088,0.8037,0.4088,0.3363
56,0.3923,0.2839,0.3923,0.3132
57,0.3867,0.2517,0.3867,0.2965
58,0.3923,0.2485,0.3923,0.2956
59,0.4033,0.3115,0.4033,0.3264
60,0.4033,0.2907,0.4033,0.3186
61,0.3923,0.3091,0.3923,0.3173
62,0.4088,0.3127,0.4088,0.3302
63,0.4033,0.3024,0.4033,0.3253
64,0.3923,0.2915,0.3923,0.3130
65,0.3978,0.7795,0.3978,0.3262
66,0.4088,0.3037,0.4088,0.3288
67,0.3812,0.3353,0.3812,0.3132
68,0.2983,0.3248,0.2983,0.2365
69,0.3425,0.3201,0.3425,0.2819
70,0.3923,0.3372,0.3923,0.3217
71,0.4199,0.3195,0.4199,0.3394
72,0.4144,0.3093,0.4144,0.3331
73,0.3978,0.2891,0.3978,0.3174
74,0.4088,0.2919,0.4088,0.3244
75,0.4199,0.3154,0.4199,0.3361
76,0.4144,0.3090,0.4144,0.3343
77,0.4530,0.8287,0.4530,0.4121
78,0.4696,0.8070,0.4696,0.4182
79,0.4420,0.8216,0.4420,0.3977
80,0.4254,0.3032,0.4254,0.3383
81,0.4365,0.8142,0.4365,0.3566
82,0.4365,0.3105,0.4365,0.3441
83,0.4309,0.3324,0.4309,0.3467
84,0.4254,0.3370,0.4254,0.3436
85,0.4088,0.2883,0.4088,0.3227
86,0.4199,0.2946,0.4199,0.3313
87,0.4144,0.2857,0.4144,0.3268
88,0.4199,0.2756,0.4199,0.3204
89,0.3923,0.3250,0.3923,0.3196
90,0.4309,0.2942,0.4309,0.3354
91,0.4088,0.2722,0.4088,0.3153
92,0.4199,0.3199,0.4199,0.3381
93,0.4530,0.3311,0.4530,0.3601
94,0.4254,0.2883,0.4254,0.3332
95,0.4033,0.2505,0.4033,0.3052
96,0.4254,0.2631,0.4254,0.3192
97,0.4420,0.2844,0.4420,0.3360
98,0.3923,0.2288,0.3923,0.2867
99,0.4199,0.2645,0.4199,0.3166
100,0.4199,0.2844,0.4199,0.3269
101,0.4199,0.2778,0.4199,0.3249
102,0.4144,0.2729,0.4144,0.3211
103,0.4420,0.3117,0.4420,0.3475
104,0.4475,0.3206,0.4475,0.3547
105,0.3702,0.2103,0.3702,0.2675
106,0.3646,0.2031,0.3646,0.2604
107,0.4254,0.2608,0.4254,0.3177
108,0.4199,0.2771,0.4199,0.3259
109,0.4088,0.2622,0.4088,0.3142
