# epoch,accuracy,precision,recall,f1_score
0,0.3167,0.1003,0.3167,0.1523
1,0.3167,0.1003,0.3167,0.1523
2,0.3167,0.1003,0.3167,0.1523
3,0.3167,0.1003,0.3167,0.1523
4,0.3167,0.1003,0.3167,0.1523
5,0.3167,0.1003,0.3167,0.1523
6,0.4889,0.2390,0.4889,0.3211
7,0.4889,0.2390,0.4889,0.3211
8,0.4889,0.2390,0.4889,0.3211
9,0.4889,0.2390,0.4889,0.3211
10,0.4889,0.2390,0.4889,0.3211
11,0.4889,0.2390,0.4889,0.3211
12,0.4889,0.2390,0.4889,0.3211
13,0.4889,0.2390,0.4889,0.3211
14,0.4889,0.2390,0.4889,0.3211
15,0.4889,0.2390,0.4889,0.3211
16,0.4889,0.2390,0.4889,0.3211
17,0.4889,0.2403,0.4889,0.3223
18,0.4833,0.2390,0.4833,0.3198
19,0.4833,0.2390,0.4833,0.3198
20,0.4889,0.2417,0.4889,0.3235
21,0.4778,0.2943,0.4778,0.3344
22,0.4944,0.3107,0.4944,0.3512
23,0.5056,0.3337,0.5056,0.3748
24,0.5167,0.3377,0.5167,0.3956
25,0.4889,0.2891,0.4889,0.3423
26,0.4889,0.2403,0.4889,0.3223
27,0.4889,0.2390,0.4889,0.3211
28,0.4889,0.2390,0.4889,0.3211
29,0.4889,0.2390,0.4889,0.3211
30,0.4889,0.2390,0.4889,0.3211
31,0.4889,0.2390,0.4889,0.3211
32,0.4889,0.2390,0.4889,0.3211
33,0.4889,0.2390,0.4889,0.3211
34,0.4944,0.5570,0.4944,0.3332
35,0.4944,0.5570,0.4944,0.3332
36,0.4889,0.2390,0.4889,0.3211
37,0.4889,0.2390,0.4889,0.3211
38,0.4889,0.2390,0.4889,0.3211
39,0.4889,0.2390,0.4889,0.3211
40,0.4889,0.2390,0.4889,0.3211
41,0.4889,0.2390,0.4889,0.3211
42,0.4944,0.5570,0.4944,0.3332
43,0.5056,0.5597,0.5056,0.3564
44,0.5556,0.5728,0.5556,0.4463
45,0.5111,0.5611,0.5111,0.3675
46,0.5222,0.5639,0.5222,0.3887
47,0.5167,0.5625,0.5167,0.3782
48,0.4944,0.5570,0.4944,0.3332
49,0.4944,0.5584,0.4944,0.3344
50,0.5222,0.5639,0.5222,0.3887
51,0.6778,0.5831,0.6778,0.6033
52,0.5667,0.5758,0.5667,0.4636
53,0.6333,0.6838,0.6333,0.5625
54,0.6389,0.7099,0.6389,0.5970
55,0.5611,0.6941,0.5611,0.4638
56,0.6444,0.7124,0.6444,0.5958
57,0.5833,0.6507,0.5833,0.5036
58,0.5778,0.6950,0.5778,0.4927
59,0.6389,0.7312,0.6389,0.5800
60,0.5889,0.5822,0.5889,0.4962
61,0.6667,0.7394,0.6667,0.6221
62,0.6389,0.6885,0.6389,0.5722
63,0.6333,0.7312,0.6333,0.5776
64,0.5889,0.7074,0.5889,0.5159
65,0.6667,0.7240,0.6667,0.6412
66,0.7056,0.7603,0.7056,0.6850
67,0.7056,0.7720,0.7056,0.6789
68,0.7500,0.7981,0.7500,0.7313
69,0.7222,0.7822,0.7222,0.7011
70,0.6278,0.5960,0.6278,0.5486
71,0.6167,0.6446,0.6167,0.5419
72,0.7111,0.7803,0.7111,0.6818
73,0.7278,0.7705,0.7278,0.7111
