# epoch,accuracy,precision,recall,f1_score
0,0.3056,0.0934,0.3056,0.1430
1,0.3056,0.0934,0.3056,0.1430
2,0.3056,0.0934,0.3056,0.1430
3,0.3056,0.0934,0.3056,0.1430
4,0.5111,0.2612,0.5111,0.3458
5,0.5111,0.2612,0.5111,0.3458
6,0.5111,0.2612,0.5111,0.3458
7,0.5111,0.2612,0.5111,0.3458
8,0.5111,0.2612,0.5111,0.3458
9,0.5111,0.2612,0.5111,0.3458
10,0.5111,0.2612,0.5111,0.3458
11,0.5111,0.2612,0.5111,0.3458
12,0.5111,0.2612,0.5111,0.3458
13,0.3056,0.0934,0.3056,0.1430
14,0.3056,0.0934,0.3056,0.1430
15,0.3056,0.0934,0.3056,0.1430
16,0.3056,0.0934,0.3056,0.1430
17,0.3056,0.0934,0.3056,0.1430
18,0.3056,0.0934,0.3056,0.1430
19,0.3056,0.0934,0.3056,0.1430
20,0.3056,0.0934,0.3056,0.1430
21,0.3889,0.3400,0.3889,0.3573
22,0.5056,0.3240,0.5056,0.3548
23,0.5056,0.3378,0.5056,0.3536
24,0.5056,0.2598,0.5056,0.3433
25,0.5111,0.2612,0.5111,0.3458
26,0.5111,0.2612,0.5111,0.3458
27,0.5111,0.2612,0.5111,0.3458
28,0.5111,0.2612,0.5111,0.3458
29,0.5111,0.2612,0.5111,0.3458
30,0.5111,0.2612,0.5111,0.3458
31,0.5111,0.2612,0.5111,0.3458
32,0.5111,0.2612,0.5111,0.3458
33,0.5111,0.2612,0.5111,0.3458
34,0.5111,0.2612,0.5111,0.3458
35,0.5222,0.5697,0.5222,0.3698
36,0.4389,0.3820,0.4389,0.3990
37,0.4500,0.4125,0.4500,0.4056
38,0.5333,0.4470,0.5333,0.4824
39,0.4556,0.4544,0.4556,0.4025
40,0.4222,0.5264,0.4222,0.3524
41,0.4056,0.5297,0.4056,0.3297
42,0.4056,0.5297,0.4056,0.3297
43,0.4444,0.4736,0.4444,0.3835
44,0.3556,0.5589,0.3556,0.2396
45,0.3278,0.6066,0.3278,0.1881
46,0.3500,0.5526,0.3500,0.2297
47,0.3389,0.6077,0.3389,0.2094
48,0.3056,0.6043,0.3056,0.1532
49,0.3167,0.6311,0.3167,0.1774
50,0.4611,0.6700,0.4611,0.4309
51,0.3833,0.6932,0.3833,0.2756
52,0.3667,0.6976,0.3667,0.2564
53,0.3667,0.2073,0.3667,0.2606
54,0.3611,0.7475,0.3611,0.2887
55,0.4056,0.8066,0.4056,0.4017
56,0.4167,0.8089,0.4167,0.4183
57,0.3333,0.8385,0.3333,0.3153
58,0.2944,0.3165,0.2944,0.2303
59,0.3333,0.2759,0.3333,0.2658
60,0.5222,0.8675,0.5222,0.5443
61,0.2611,0.8531,0.2611,0.1920
62,0.2611,0.8531,0.2611,0.2016
63,0.2944,0.8545,0.2944,0.2583
64,0.3500,0.8570,0.3500,0.3261
65,0.2333,0.8520,0.2333,0.1517
66,0.2389,0.8523,0.2389,0.1628
67,0.3333,0.8562,0.3333,0.3109
68,0.5333,0.8684,0.5333,0.5483
69,0.5444,0.8693,0.5444,0.5187
70,0.4056,0.5543,0.4056,0.3797
