# epoch,accuracy,precision,recall,f1_score
0,0.3260,0.1063,0.3260,0.1603
1,0.3260,0.1063,0.3260,0.1603
2,0.3260,0.1063,0.3260,0.1603
3,0.3260,0.1063,0.3260,0.1603
4,0.3260,0.1063,0.3260,0.1603
5,0.3260,0.1063,0.3260,0.1603
6,0.3260,0.1063,0.3260,0.1603
7,0.4917,0.2418,0.4917,0.3242
8,0.4917,0.2418,0.4917,0.3242
9,0.4917,0.2418,0.4917,0.3242
10,0.4917,0.2418,0.4917,0.3242
11,0.4917,0.2418,0.4917,0.3242
12,0.4917,0.2418,0.4917,0.3242
13,0.4917,0.2418,0.4917,0.3242
14,0.4917,0.2418,0.4917,0.3242
15,0.4917,0.2418,0.4917,0.3242
16,0.4917,0.2418,0.4917,0.3242
17,0.4917,0.2418,0.4917,0.3242
18,0.5028,0.5912,0.5028,0.3492
19,0.5028,0.5912,0.5028,0.3492
20,0.5028,0.4102,0.5028,0.3497
21,0.5028,0.3936,0.5028,0.3662
22,0.5028,0.4102,0.5028,0.3497
23,0.5083,0.7541,0.5083,0.3599
24,0.4917,0.2418,0.4917,0.3242
25,0.4917,0.2418,0.4917,0.3242
26,0.4917,0.2418,0.4917,0.3242
27,0.4917,0.2418,0.4917,0.3242
28,0.4917,0.2418,0.4917,0.3242
29,0.4917,0.2418,0.4917,0.3242
30,0.4917,0.2418,0.4917,0.3242
31,0.4917,0.2418,0.4917,0.3242
32,0.4917,0.2418,0.4917,0.3242
33,0.4917,0.2418,0.4917,0.3242
34,0.4917,0.2418,0.4917,0.3242
35,0.4917,0.2418,0.4917,0.3242
36,0.4917,0.2418,0.4917,0.3242
37,0.4917,0.2418,0.4917,0.3242
38,0.4917,0.2418,0.4917,0.3242
39,0.4917,0.2418,0.4917,0.3242
40,0.4917,0.2418,0.4917,0.3242
41,0.4917,0.2418,0.4917,0.3242
42,0.4917,0.2418,0.4917,0.3242
43,0.4917,0.2418,0.4917,0.3242
44,0.4917,0.2418,0.4917,0.3242
45,0.4917,0.2418,0.4917,0.3242
46,0.4917,0.2418,0.4917,0.3242
47,0.4917,0.2418,0.4917,0.3242
48,0.4917,0.2431,0.4917,0.3254
49,0.4917,0.2431,0.4917,0.3254
50,0.4917,0.2418,0.4917,0.3242
51,0.4917,0.2445,0.4917,0.3266
52,0.4972,0.5691,0.4972,0.3362
53,0.5193,0.5804,0.5193,0.3863
54,0.5083,0.5746,0.5083,0.3618
55,0.4917,0.2431,0.4917,0.3254
56,0.5138,0.5262,0.5138,0.3843
57,0.5691,0.5330,0.5691,0.4772
58,0.5856,0.5513,0.5856,0.5388
59,0.5359,0.6096,0.5359,0.4309
60,0.5028,0.5804,0.5028,0.3567
61,0.5028,0.5819,0.5028,0.3580
62,0.5028,0.6015,0.5028,0.3584
63,0.5856,0.6090,0.5856,0.5132
64,0.5691,0.6221,0.5691,0.4871
65,0.5580,0.6472,0.5580,0.4719
66,0.5525,0.6594,0.5525,0.4558
67,0.6133,0.6912,0.6133,0.5558
68,0.6133,0.6861,0.6133,0.5610
69,0.5801,0.6568,0.5801,0.5147
70,0.6409,0.7070,0.6409,0.6069
71,0.6851,0.7181,0.6851,0.6663
72,0.5691,0.6897,0.5691,0.4931
73,0.6243,0.6800,0.6243,0.5772
74,0.6077,0.6501,0.6077,0.5495
75,0.6354,0.6778,0.6354,0.5890
76,0.6575,0.7031,0.6575,0.6206
77,0.6464,0.7184,0.6464,0.6039
78,0.6354,0.7177,0.6354,0.5851
79,0.6243,0.7087,0.6243,0.5716
80,0.6464,0.6621,0.6464,0.6095
81,0.6464,0.6770,0.6464,0.6095
82,0.7403,0.7640,0.7403,0.7253
83,0.7735,0.7806,0.7735,0.7619
84,0.6409,0.6989,0.6409,0.5972
85,0.6243,0.7198,0.6243,0.5645
86,0.6519,0.7089,0.6519,0.6208
87,0.5635,0.6633,0.5635,0.4729
88,0.6022,0.6853,0.6022,0.5495
89,0.7017,0.7699,0.7017,0.6761
90,0.5193,0.6361,0.5193,0.4027
91,0.5856,0.6912,0.5856,0.5266
92,0.6796,0.7938,0.6796,0.6376
93,0.7735,0.8273,0.7735,0.7630
94,0.6906,0.7470,0.6906,0.6745
95,0.8232,0.8367,0.8232,0.8190
96,0.7569,0.7958,0.7569,0.7422
97,0.6133,0.6881,0.6133,0.5649
98,0.6685,0.7194,0.6685,0.6375
99,0.6851,0.7395,0.6851,0.6579
100,0.6464,0.7109,0.6464,0.6049
101,0.6685,0.7391,0.6685,0.6338
102,0.7790,0.8459,0.7790,0.7739
103,0.7514,0.8355,0.7514,0.7397
104,0.7238,0.7811,0.7238,0.7095
105,0.8508,0.8703,0.8508,0.8503
106,0.8232,0.8257,0.8232,0.8243
107,0.8840,0.8807,0.8840,0.8814
108,0.7901,0.8046,0.7901,0.7840
109,0.7624,0.7897,0.7624,0.7546
