# epoch,accuracy,precision,recall,f1_score
0,0.2793,0.0780,0.2793,0.1220
1,0.2793,0.0780,0.2793,0.1220
2,0.2793,0.0780,0.2793,0.1220
3,0.2793,0.0780,0.2793,0.1220
4,0.2793,0.0780,0.2793,0.1220
5,0.5363,0.2876,0.5363,0.3744
6,0.5363,0.2876,0.5363,0.3744
7,0.5363,0.2876,0.5363,0.3744
8,0.5363,0.2876,0.5363,0.3744
9,0.5363,0.2876,0.5363,0.3744
10,0.5363,0.2876,0.5363,0.3744
11,0.5363,0.2876,0.5363,0.3744
12,0.5363,0.2876,0.5363,0.3744
13,0.5363,0.2876,0.5363,0.3744
14,0.5363,0.2876,0.5363,0.3744
15,0.5363,0.2876,0.5363,0.3744
16,0.5363,0.2876,0.5363,0.3744
17,0.5363,0.2876,0.5363,0.3744
18,0.5363,0.2876,0.5363,0.3744
19,0.5363,0.2876,0.5363,0.3744
20,0.5363,0.2876,0.5363,0.3744
21,0.5363,0.2876,0.5363,0.3744
22,0.5363,0.2876,0.5363,0.3744
23,0.5363,0.2876,0.5363,0.3744
24,0.5363,0.2876,0.5363,0.3744
25,0.5363,0.2876,0.5363,0.3744
26,0.5363,0.2876,0.5363,0.3744
27,0.5363,0.2876,0.5363,0.3744
28,0.5363,0.2876,0.5363,0.3744
29,0.5363,0.2876,0.5363,0.3744
30,0.5363,0.2876,0.5363,0.3744
31,0.4804,0.3833,0.4804,0.4247
32,0.4469,0.4537,0.4469,0.4028
33,0.4022,0.4849,0.4022,0.3409
34,0.3966,0.5608,0.3966,0.3292
35,0.3911,0.5774,0.3911,0.3222
36,0.2961,0.6157,0.2961,0.1561
37,0.2849,0.6148,0.2849,0.1336
38,0.2849,0.6148,0.2849,0.1336
39,0.2849,0.6148,0.2849,0.1336
40,0.2793,0.0780,0.2793,0.1220
41,0.2793,0.0780,0.2793,0.1220
42,0.2793,0.0780,0.2793,0.1220
43,0.2793,0.0780,0.2793,0.1220
44,0.2793,0.0780,0.2793,0.1220
45,0.2793,0.0780,0.2793,0.1220
46,0.2849,0.6148,0.2849,0.1336
47,0.2793,0.0780,0.2793,0.1220
48,0.2793,0.0780,0.2793,0.1220
49,0.2905,0.6152,0.2905,0.1449
50,0.2793,0.0780,0.2793,0.1220
51,0.2849,0.6148,0.2849,0.1336
52,0.2849,0.6148,0.2849,0.1336
53,0.4134,0.6051,0.4134,0.3546
54,0.5642,0.5337,0.5642,0.5244
55,0.4916,0.5449,0.4916,0.4561
56,0.5028,0.5663,0.5028,0.4715
57,0.6872,0.5953,0.6872,0.6281
58,0.7151,0.7479,0.7151,0.7003
59,0.6201,0.6959,0.6201,0.6116
60,0.5698,0.6576,0.5698,0.5640
61,0.4749,0.6274,0.4749,0.4462
62,0.5531,0.7016,0.5531,0.5499
63,0.5196,0.6876,0.5196,0.5201
64,0.4637,0.6931,0.4637,0.4338
65,0.6704,0.7521,0.6704,0.6828
66,0.6927,0.7590,0.6927,0.6971
67,0.3743,0.6863,0.3743,0.2953
68,0.4693,0.6736,0.4693,0.4478
69,0.5475,0.6861,0.5475,0.5492
70,0.5196,0.7013,0.5196,0.5233
71,0.5810,0.7182,0.5810,0.5861
72,0.5922,0.7461,0.5922,0.5980
73,0.7709,0.8065,0.7709,0.7806
74,0.7542,0.8262,0.7542,0.7706
75,0.5866,0.7522,0.5866,0.6016
76,0.5084,0.7340,0.5084,0.4946
77,0.5922,0.7213,0.5922,0.6102
78,0.5810,0.7690,0.5810,0.5968
79,0.7095,0.7841,0.7095,0.7263
80,0.6760,0.7708,0.6760,0.6935
81,0.6257,0.7520,0.6257,0.6412
82,0.5587,0.7228,0.5587,0.5671
83,0.7207,0.7821,0.7207,0.7316
84,0.5698,0.7810,0.5698,0.5776
85,0.5810,0.7912,0.5810,0.5988
86,0.3743,0.7638,0.3743,0.2809
87,0.4413,0.7778,0.4413,0.4016
88,0.5196,0.8510,0.5196,0.5311
89,0.4022,0.8462,0.4022,0.4067
90,0.4693,0.8410,0.4693,0.4964
91,0.4581,0.8105,0.4581,0.4868
92,0.4972,0.8510,0.4972,0.5285
93,0.5922,0.8434,0.5922,0.6287
94,0.6872,0.8367,0.6872,0.7190
95,0.6369,0.8510,0.6369,0.6640
96,0.5084,0.8357,0.5084,0.5149
97,0.7318,0.8612,0.7318,0.7594
98,0.5307,0.8314,0.5307,0.5509
99,0.4078,0.7139,0.4078,0.3517
100,0.5642,0.8064,0.5642,0.5757
101,0.6201,0.7988,0.6201,0.6425
102,0.4749,0.7960,0.4749,0.4915
103,0.6704,0.8313,0.6704,0.7013
104,0.6313,0.8318,0.6313,0.6610
105,0.6816,0.8227,0.6816,0.7121
106,0.6704,0.8553,0.6704,0.7074
107,0.6927,0.8355,0.6927,0.7250
108,0.7151,0.8216,0.7151,0.7414
109,0.8603,0.8851,0.8603,0.8675
110,0.8603,0.8877,0.8603,0.8650
111,0.7542,0.8601,0.7542,0.7769
112,0.7430,0.8507,0.7430,0.7672
113,0.5196,0.8332,0.5196,0.5245
114,0.6257,0.8292,0.6257,0.6593
115,0.7374,0.8485,0.7374,0.7631
116,0.7709,0.8538,0.7709,0.7893
117,0.6034,0.8379,0.6034,0.6385
118,0.7765,0.8499,0.7765,0.7889
119,0.6369,0.8128,0.6369,0.6728
120,0.6872,0.8335,0.6872,0.7182
121,0.5642,0.8328,0.5642,0.5919
122,0.7430,0.8652,0.7430,0.7695
123,0.7207,0.8524,0.7207,0.7460
124,0.7821,0.8453,0.7821,0.7984
125,0.7821,0.8653,0.7821,0.8016
126,0.8715,0.8861,0.8715,0.8761
127,0.8659,0.8798,0.8659,0.8707
128,0.8324,0.8586,0.8324,0.8387
129,0.7542,0.8314,0.7542,0.7646
130,0.8547,0.8688,0.8547,0.8548
131,0.8715,0.8728,0.8715,0.8716
132,0.8324,0.8499,0.8324,0.8347
133,0.8492,0.8619,0.8492,0.8540
134,0.7207,0.8575,0.7207,0.7468
135,0.8380,0.8736,0.8380,0.8485
136,0.8771,0.8896,0.8771,0.8811
137,0.8603,0.8772,0.8603,0.8655
138,0.7821,0.8453,0.7821,0.7983
139,0.8492,0.8666,0.8492,0.8518
140,0.7933,0.8721,0.7933,0.8048
141,0.8324,0.8686,0.8324,0.8429
142,0.8492,0.8841,0.8492,0.8580
143,0.7877,0.8587,0.7877,0.8047
144,0.8883,0.9003,0.8883,0.8920
145,0.5307,0.8047,0.5307,0.5322
146,0.8101,0.8656,0.8101,0.8226
147,0.8380,0.8788,0.8380,0.8447
148,0.8659,0.8922,0.8659,0.8710
149,0.8436,0.8800,0.8436,0.8511
150,0.5419,0.7516,0.5419,0.5195
151,0.7207,0.8116,0.7207,0.7271
152,0.8771,0.8887,0.8771,0.8801
153,0.7765,0.8251,0.7765,0.7850
154,0.9106,0.9100,0.9106,0.9098
155,0.9218,0.9211,0.9218,0.9210
156,0.8994,0.8977,0.8994,0.8976
157,0.8045,0.8602,0.8045,0.8126
158,0.9050,0.9091,0.9050,0.9044
159,0.9218,0.9246,0.9218,0.9215
160,0.9218,0.9239,0.9218,0.9226
161,0.7542,0.8469,0.7542,0.7770
162,0.8771,0.8978,0.8771,0.8816
163,0.9330,0.9351,0.9330,0.9327
164,0.8994,0.9021,0.8994,0.8987
165,0.9050,0.9081,0.9050,0.9061
166,0.8883,0.8972,0.8883,0.8905
167,0.9106,0.9102,0.9106,0.9104
168,0.8994,0.9077,0.8994,0.9017
169,0.8715,0.8904,0.8715,0.8746
170,0.8715,0.8739,0.8715,0.8715
171,0.8771,0.8853,0.8771,0.8782
172,0.8994,0.9108,0.8994,0.9028
173,0.9162,0.9235,0.9162,0.9182
174,0.8994,0.9121,0.8994,0.9025
175,0.8771,0.8924,0.8771,0.8795
176,0.9218,0.9223,0.9218,0.9220
177,0.9050,0.9096,0.9050,0.9056
178,0.8827,0.9111,0.8827,0.8888
179,0.8827,0.8907,0.8827,0.8849
180,0.8883,0.8940,0.8883,0.8901
181,0.8212,0.8478,0.8212,0.8246
182,0.8603,0.8814,0.8603,0.8639
183,0.8101,0.8431,0.8101,0.8137
184,0.9106,0.9133,0.9106,0.9104
185,0.9385,0.9401,0.9385,0.9387
186,0.8883,0.8982,0.8883,0.8895
187,0.8715,0.8883,0.8715,0.8714
188,0.9274,0.9267,0.9274,0.9265
189,0.8994,0.9016,0.8994,0.8999
190,0.8994,0.9037,0.8994,0.9005
191,0.8994,0.9025,0.8994,0.8996
192,0.9274,0.9275,0.9274,0.9261
193,0.9330,0.9331,0.9330,0.9317
194,0.9218,0.9216,0.9218,0.9203
195,0.9218,0.9254,0.9218,0.9210
196,0.8603,0.8750,0.8603,0.8629
197,0.8715,0.8819,0.8715,0.8728
198,0.8771,0.8874,0.8771,0.8786
199,0.9218,0.9245,0.9218,0.9219
200,0.9497,0.9519,0.9497,0.9495
201,0.9385,0.9392,0.9385,0.9385
202,0.9218,0.9217,0.9218,0.9214
203,0.9385,0.9392,0.9385,0.9383
204,0.9497,0.9502,0.9497,0.9497
205,0.8547,0.8732,0.8547,0.8567
206,0.9106,0.9162,0.9106,0.9108
207,0.9050,0.9128,0.9050,0.9046
