# epoch,accuracy,precision,recall,f1_score
0,0.3464,0.4015,0.3464,0.3553
1,0.5140,0.4557,0.5140,0.4628
2,0.5475,0.4826,0.5475,0.4539
3,0.5587,0.5088,0.5587,0.4596
4,0.5642,0.4849,0.5642,0.4514
5,0.5866,0.5401,0.5866,0.4824
6,0.6257,0.5505,0.6257,0.5413
7,0.6369,0.5752,0.6369,0.5507
8,0.5922,0.5840,0.5922,0.4817
9,0.6313,0.5836,0.6313,0.5403
10,0.6816,0.6077,0.6816,0.6038
11,0.7486,0.6245,0.7486,0.6736
12,0.7207,0.5942,0.7207,0.6494
13,0.7263,0.5991,0.7263,0.6547
14,0.7263,0.5978,0.7263,0.6542
15,0.7486,0.6141,0.7486,0.6738
16,0.7765,0.6407,0.7765,0.7001
17,0.7654,0.6377,0.7654,0.6918
18,0.7654,0.6398,0.7654,0.6925
19,0.7765,0.6534,0.7765,0.7039
20,0.7654,0.6478,0.7654,0.6946
21,0.7821,0.6539,0.7821,0.7078
22,0.7821,0.6562,0.7821,0.7085
23,0.7821,0.6518,0.7821,0.7070
24,0.7933,0.6562,0.7933,0.7158
25,0.7933,0.8482,0.7933,0.7265
26,0.7933,0.8502,0.7933,0.7346
27,0.8156,0.8676,0.8156,0.7797
28,0.8101,0.8682,0.8101,0.7708
29,0.7989,0.8638,0.7989,0.7497
30,0.8101,0.8795,0.8101,0.7679
31,0.7989,0.8753,0.7989,0.7527
32,0.7933,0.8732,0.7933,0.7481
33,0.7821,0.8692,0.7821,0.7390
34,0.7877,0.8710,0.7877,0.7497
35,0.8380,0.8718,0.8380,0.8183
36,0.8883,0.9072,0.8883,0.8797
37,0.8771,0.8949,0.8771,0.8679
38,0.8659,0.8807,0.8659,0.8567
39,0.8771,0.8896,0.8771,0.8727
40,0.8994,0.9077,0.8994,0.8965
41,0.9162,0.9242,0.9162,0.9143
42,0.9218,0.9283,0.9218,0.9204
43,0.9385,0.9440,0.9385,0.9379
44,0.9385,0.9416,0.9385,0.9381
45,0.9385,0.9416,0.9385,0.9381
46,0.9330,0.9370,0.9330,0.9323
47,0.9218,0.9283,0.9218,0.9204
48,0.9274,0.9326,0.9274,0.9264
49,0.9385,0.9415,0.9385,0.9376
50,0.9274,0.9281,0.9274,0.9271
