# epoch,accuracy,precision,recall,f1_score
0,0.2818,0.2351,0.2818,0.2407
1,0.3039,0.2373,0.3039,0.2591
2,0.3315,0.2435,0.3315,0.2791
3,0.4254,0.5898,0.4254,0.3470
4,0.4586,0.5880,0.4586,0.3487
5,0.4696,0.2870,0.4696,0.3416
6,0.4696,0.2819,0.4696,0.3356
7,0.4807,0.2350,0.4807,0.3157
8,0.4862,0.2364,0.4862,0.3181
9,0.4862,0.2364,0.4862,0.3181
10,0.4862,0.2364,0.4862,0.3181
11,0.4862,0.2364,0.4862,0.3181
12,0.4862,0.2364,0.4862,0.3181
13,0.4862,0.2364,0.4862,0.3181
14,0.4862,0.2364,0.4862,0.3181
15,0.4862,0.2364,0.4862,0.3181
16,0.4862,0.2364,0.4862,0.3181
17,0.4862,0.2364,0.4862,0.3181
18,0.5028,0.5608,0.5028,0.3532
19,0.6077,0.5773,0.6077,0.5219
20,0.6519,0.5738,0.6519,0.5731
21,0.6630,0.5799,0.6630,0.5854
22,0.6575,0.5832,0.6575,0.5801
23,0.6575,0.5827,0.6575,0.5820
24,0.6740,0.5713,0.6740,0.5970
25,0.6851,0.5559,0.6851,0.6054
26,0.6906,0.5641,0.6906,0.6115
27,0.7182,0.5777,0.7182,0.6383
28,0.7403,0.5958,0.7403,0.6598
29,0.7790,0.6337,0.7790,0.6979
30,0.7845,0.6406,0.7845,0.7036
31,0.7901,0.6461,0.7901,0.7087
32,0.7845,0.6429,0.7845,0.7041
33,0.7790,0.6351,0.7790,0.6984
34,0.7901,0.6461,0.7901,0.7087
35,0.7901,0.6478,0.7901,0.7094
36,0.7901,0.6478,0.7901,0.7094
37,0.7901,0.6478,0.7901,0.7094
38,0.7901,0.6478,0.7901,0.7094
39,0.7901,0.6478,0.7901,0.7094
40,0.7901,0.6517,0.7901,0.7107
41,0.7956,0.6624,0.7956,0.7176
42,0.8011,0.8514,0.8011,0.7278
43,0.8011,0.8483,0.8011,0.7345
44,0.8122,0.8587,0.8122,0.7519
45,0.8122,0.8608,0.8122,0.7526
46,0.8122,0.8587,0.8122,0.7519
47,0.8122,0.8567,0.8122,0.7512
48,0.8177,0.8539,0.8177,0.7725
49,0.8287,0.8640,0.8287,0.7881
50,0.8287,0.8658,0.8287,0.7887
51,0.8343,0.8670,0.8343,0.7976
52,0.8564,0.8787,0.8564,0.8321
53,0.8619,0.8822,0.8619,0.8402
54,0.8619,0.8832,0.8619,0.8406
55,0.8895,0.9102,0.8895,0.8784
56,0.8785,0.9037,0.8785,0.8639
57,0.9006,0.9141,0.9006,0.8915
58,0.9061,0.9178,0.9061,0.8983
59,0.9171,0.9249,0.9171,0.9113
60,0.9227,0.9265,0.9227,0.9191
61,0.9282,0.9360,0.9282,0.9248
62,0.9282,0.9360,0.9282,0.9248
63,0.9337,0.9366,0.9337,0.9316
64,0.9337,0.9392,0.9337,0.9307
65,0.9448,0.9444,0.9448,0.9438
66,0.9613,0.9622,0.9613,0.9612
67,0.9613,0.9640,0.9613,0.9611
68,0.9392,0.9436,0.9392,0.9369
69,0.9503,0.9529,0.9503,0.9498
70,0.9503,0.9513,0.9503,0.9501
71,0.9503,0.9513,0.9503,0.9501
72,0.9503,0.9508,0.9503,0.9505
73,0.9558,0.9556,0.9558,0.9555
74,0.9558,0.9556,0.9558,0.9555
75,0.9503,0.9506,0.9503,0.9504
76,0.9448,0.9457,0.9448,0.9450
77,0.9503,0.9520,0.9503,0.9508
78,0.9613,0.9619,0.9613,0.9615
79,0.9503,0.9525,0.9503,0.9508
80,0.9448,0.9481,0.9448,0.9455
81,0.9448,0.9499,0.9448,0.9458
82,0.9448,0.9498,0.9448,0.9458
83,0.9448,0.9498,0.9448,0.9458
84,0.9558,0.9582,0.9558,0.9563
85,0.9558,0.9581,0.9558,0.9563
86,0.9558,0.9581,0.9558,0.9563
87,0.9613,0.9627,0.9613,0.9616
88,0.9669,0.9677,0.9669,0.9670
89,0.9558,0.9585,0.9558,0.9562
90,0.9558,0.9582,0.9558,0.9563
91,0.9613,0.9629,0.9613,0.9617
92,0.9669,0.9673,0.9669,0.9669
93,0.9669,0.9673,0.9669,0.9669
94,0.9613,0.9627,0.9613,0.9616
95,0.9613,0.9627,0.9613,0.9616
96,0.9613,0.9627,0.9613,0.9616
97,0.9613,0.9627,0.9613,0.9616
98,0.9613,0.9626,0.9613,0.9616
99,0.9613,0.9626,0.9613,0.9616
100,0.9613,0.9627,0.9613,0.9616
101,0.9558,0.9581,0.9558,0.9563
102,0.9613,0.9626,0.9613,0.9616
103,0.9724,0.9726,0.9724,0.9724
104,0.9779,0.9780,0.9779,0.9779
105,0.9724,0.9726,0.9724,0.9724
106,0.9724,0.9726,0.9724,0.9724
107,0.9613,0.9626,0.9613,0.9616
108,0.9503,0.9535,0.9503,0.9507
109,0.9613,0.9626,0.9613,0.9616
110,0.9392,0.9459,0.9392,0.9406
111,0.9503,0.9541,0.9503,0.9510
112,0.9392,0.9461,0.9392,0.9405
113,0.9448,0.9500,0.9448,0.9457
114,0.9503,0.9542,0.9503,0.9509
115,0.9613,0.9629,0.9613,0.9617
116,0.9558,0.9585,0.9558,0.9562
117,0.9503,0.9542,0.9503,0.9509
118,0.9392,0.9462,0.9392,0.9402
119,0.9448,0.9501,0.9448,0.9455
120,0.9558,0.9585,0.9558,0.9562
121,0.9669,0.9677,0.9669,0.9670
122,0.9669,0.9677,0.9669,0.9670
123,0.9669,0.9677,0.9669,0.9670
124,0.9669,0.9677,0.9669,0.9670
125,0.9669,0.9677,0.9669,0.9670
126,0.9669,0.9677,0.9669,0.9670
127,0.9669,0.9677,0.9669,0.9670
128,0.9779,0.9780,0.9779,0.9779
129,0.9779,0.9780,0.9779,0.9779
130,0.9724,0.9727,0.9724,0.9724
131,0.9724,0.9727,0.9724,0.9724
132,0.9669,0.9677,0.9669,0.9670
133,0.9724,0.9727,0.9724,0.9724
134,0.9724,0.9727,0.9724,0.9724
135,0.9613,0.9627,0.9613,0.9616
136,0.9613,0.9629,0.9613,0.9617
137,0.9669,0.9677,0.9669,0.9670
138,0.9724,0.9727,0.9724,0.9724
139,0.9558,0.9581,0.9558,0.9563
140,0.9669,0.9677,0.9669,0.9670
141,0.9613,0.9630,0.9613,0.9616
142,0.9779,0.9780,0.9779,0.9779
143,0.9724,0.9726,0.9724,0.9724
144,0.9669,0.9676,0.9669,0.9670
145,0.9669,0.9676,0.9669,0.9670
146,0.9503,0.9540,0.9503,0.9511
147,0.9613,0.9629,0.9613,0.9617
148,0.9779,0.9780,0.9779,0.9779
149,0.9834,0.9836,0.9834,0.9835
150,0.9779,0.9780,0.9779,0.9779
151,0.9724,0.9727,0.9724,0.9724
152,0.9724,0.9727,0.9724,0.9724
153,0.9724,0.9727,0.9724,0.9724
